features,test_dataset,trained_on,split,balanced_accuracy,auroc
physiology,Campanella2024,within_dataset,0,0.9791666666666667,1.0
physiology,Campanella2024,other_datasets_only,0,0.875,0.95625
physiology,Campanella2024,all_datasets,0,0.8958333333333333,0.9729166666666667
physiology,Campanella2024,within_dataset,1,0.8011363636363636,0.9356060606060607
physiology,Campanella2024,other_datasets_only,1,0.7613636363636364,0.8636363636363636
physiology,Campanella2024,all_datasets,1,0.803030303030303,0.9015151515151516
physiology,Campanella2024,within_dataset,2,0.9583333333333334,0.9809027777777778
physiology,Campanella2024,other_datasets_only,2,0.8333333333333333,0.9340277777777778
physiology,Campanella2024,all_datasets,2,0.8333333333333333,0.953125
physiology,Campanella2024,within_dataset,3,0.9337121212121212,0.9772727272727273
physiology,Campanella2024,other_datasets_only,3,0.8731060606060606,0.9545454545454546
physiology,Campanella2024,all_datasets,3,0.8731060606060606,0.975378787878788
physiology,Campanella2024,within_dataset,4,0.9166666666666667,0.9513888888888888
physiology,Campanella2024,other_datasets_only,4,0.7708333333333334,0.8420138888888888
physiology,Campanella2024,all_datasets,4,0.8333333333333334,0.8854166666666666
physiology,Campanella2024,within_dataset,5,0.868421052631579,0.9627192982456141
physiology,Campanella2024,other_datasets_only,5,0.743421052631579,0.7807017543859649
physiology,Campanella2024,all_datasets,5,0.8114035087719298,0.8135964912280702
physiology,Campanella2024,within_dataset,6,0.8322368421052632,0.918859649122807
physiology,Campanella2024,other_datasets_only,6,0.8114035087719298,0.8728070175438596
physiology,Campanella2024,all_datasets,6,0.8114035087719298,0.9057017543859649
physiology,Campanella2024,within_dataset,7,0.9345238095238095,0.9920634920634921
physiology,Campanella2024,other_datasets_only,7,0.8511904761904762,0.9424603174603174
physiology,Campanella2024,all_datasets,7,0.8720238095238095,0.9583333333333333
physiology,Campanella2024,within_dataset,8,0.9791666666666667,1.0
physiology,Campanella2024,other_datasets_only,8,0.8532608695652174,0.9565217391304347
physiology,Campanella2024,all_datasets,8,0.8740942028985508,0.9782608695652174
physiology,Campanella2024,within_dataset,9,0.8854166666666667,0.9817708333333334
physiology,Campanella2024,other_datasets_only,9,0.7916666666666667,0.765625
physiology,Campanella2024,all_datasets,9,0.7916666666666667,0.7994791666666667
physiology,Campanella2024,within_dataset,10,0.7410714285714286,0.878968253968254
physiology,Campanella2024,other_datasets_only,10,0.6636904761904763,0.6527777777777779
physiology,Campanella2024,all_datasets,10,0.75,0.6825396825396826
physiology,Campanella2024,within_dataset,11,0.9236111111111112,0.9837962962962963
physiology,Campanella2024,other_datasets_only,11,0.7986111111111112,0.8194444444444444
physiology,Campanella2024,all_datasets,11,0.8680555555555556,0.861111111111111
physiology,Campanella2024,within_dataset,12,0.9107142857142857,0.9861111111111112
physiology,Campanella2024,other_datasets_only,12,0.8482142857142857,0.876984126984127
