features,test_dataset,trained_on,split,balanced_accuracy,auroc
physiology,Stress-Predict,within_dataset,0,0.6425018438791787,0.7421656575358913
physiology,Stress-Predict,other_datasets_only,0,0.5479923157407249,0.6606661978353716
physiology,Stress-Predict,all_datasets,0,0.6407866074338348,0.7229978902591723
physiology,Stress-Predict,within_dataset,1,0.6039664378337147,0.6511975591151793
physiology,Stress-Predict,other_datasets_only,1,0.5338291380625477,0.5983981693363845
physiology,Stress-Predict,all_datasets,1,0.5922196796338672,0.6434477498093059
physiology,Stress-Predict,within_dataset,2,0.5301757066462949,0.5950232365673542
physiology,Stress-Predict,other_datasets_only,2,0.5080850522026993,0.5484784823020118
physiology,Stress-Predict,all_datasets,2,0.5164088362617775,0.5527438248026484
physiology,Stress-Predict,within_dataset,3,0.7303892215568862,0.805938123752495
physiology,Stress-Predict,other_datasets_only,3,0.5589986693280107,0.6039836992681304
physiology,Stress-Predict,all_datasets,3,0.7188622754491019,0.7952511643379906
physiology,Stress-Predict,within_dataset,4,0.6733605296812524,0.7387693652566655
physiology,Stress-Predict,other_datasets_only,4,0.6190406812037621,0.6430479335632073
physiology,Stress-Predict,all_datasets,4,0.6418419050394185,0.6850727664189855
physiology,Stress-Predict,within_dataset,5,0.6209784311362815,0.6678515483793229
physiology,Stress-Predict,other_datasets_only,5,0.5840914568020243,0.7167354500542233
physiology,Stress-Predict,all_datasets,5,0.6667294252319556,0.7303440173514881
physiology,Stress-Predict,within_dataset,6,0.5626643557255558,0.6309317475496056
physiology,Stress-Predict,other_datasets_only,6,0.5252211331580205,0.5815279105904854
physiology,Stress-Predict,all_datasets,6,0.5804745398039685,0.6271067415730337
physiology,Stress-Predict,within_dataset,7,0.7155871898897785,0.8073995619861414
physiology,Stress-Predict,other_datasets_only,7,0.5709708110436936,0.6866226259289845
physiology,Stress-Predict,all_datasets,7,0.7160449502746562,0.7946181739848491
physiology,Stress-Predict,within_dataset,8,0.6023578684984711,0.6134226048142835
physiology,Stress-Predict,other_datasets_only,8,0.5059200324623567,0.5613234207208382
physiology,Stress-Predict,all_datasets,8,0.5630987058533687,0.5903946205237454
physiology,Stress-Predict,within_dataset,9,0.674734236449026,0.7639070209050371
