features,test_dataset,trained_on,split,balanced_accuracy,auroc
physiology,Stress-Predict,within_dataset,0,0.7330405996466614,0.8103806109672219
physiology,Stress-Predict,other_datasets_only,0,0.6478190768597452,0.7059227114457728
physiology,Stress-Predict,all_datasets,0,0.7271830671858115,0.792885199224713
physiology,Stress-Predict,within_dataset,1,0.7169717772692601,0.7753165522501906
physiology,Stress-Predict,other_datasets_only,1,0.6800533943554539,0.6902212051868802
physiology,Stress-Predict,all_datasets,1,0.7070938215102975,0.7683447749809306
physiology,Stress-Predict,within_dataset,2,0.6483081869111281,0.705325311942959
physiology,Stress-Predict,other_datasets_only,2,0.6145276292335116,0.6049146931499872
physiology,Stress-Predict,all_datasets,2,0.6367296918767507,0.7037178507766743
physiology,Stress-Predict,within_dataset,3,0.7101297405189622,0.7812707917498337
physiology,Stress-Predict,other_datasets_only,3,0.6238522954091816,0.6713489687292082
physiology,Stress-Predict,all_datasets,3,0.6874750499001996,0.7663007318695941
physiology,Stress-Predict,within_dataset,4,0.7398458873617924,0.8171045602447671
physiology,Stress-Predict,other_datasets_only,4,0.682765933336571,0.7362925549997572
physiology,Stress-Predict,all_datasets,4,0.7614572709759928,0.8294076700176453
physiology,Stress-Predict,within_dataset,5,0.7273391372454512,0.8464122183395589
physiology,Stress-Predict,other_datasets_only,5,0.6434886733341366,0.6801421858055188
physiology,Stress-Predict,all_datasets,5,0.709076394746355,0.8064525846487528
physiology,Stress-Predict,within_dataset,6,0.7087915371742768,0.8136056657901027
physiology,Stress-Predict,other_datasets_only,6,0.6627121683002629,0.6542104948601482
physiology,Stress-Predict,all_datasets,6,0.7019184795601243,0.7883994740616783
physiology,Stress-Predict,within_dataset,7,0.7709313179908808,0.8505187951028614
physiology,Stress-Predict,other_datasets_only,7,0.5846856712023839,0.6325709977381252
physiology,Stress-Predict,all_datasets,7,0.7271748106128604,0.8224428248303594
physiology,Stress-Predict,within_dataset,8,0.6987232439169311,0.7653725200353607
physiology,Stress-Predict,other_datasets_only,8,0.6595220497659522,0.6320812138602669
physiology,Stress-Predict,all_datasets,8,0.7458588757010565,0.7802124545309624
physiology,Stress-Predict,within_dataset,9,0.7030145301029145,0.7980027466472254
physiology,Stress-Predict,other_datasets_only,9,0.6510995066207761,0.7042861260405894
physiology,Stress-Predict,all_datasets,9,0.7515979722283448,0.8100066122988759
physiology,Stress-Predict,within_dataset,10,0.7408163265306122,0.8284334023464459
physiology,Stress-Predict,other_datasets_only,10,0.5718426501035196,0.6223208123829241
physiology,Stress-Predict,all_datasets,10,0.7755989352262644,0.8300699990140984
physiology,Stress-Predict,within_dataset,11,0.6831761006289307,0.7280410234419668
physiology,Stress-Predict,other_datasets_only,11,0.5644922098341909,0.5997891652372784
physiology,Stress-Predict,all_datasets,11,0.6532482847341338,0.7094589765580331
physiology,Stress-Predict,within_dataset,12,0.7072639462219974,0.783272691673873
physiology,Stress-Predict,other_datasets_only,12,0.674125862715985,0.6994403563445315
physiology,Stress-Predict,all_datasets,12,0.7464879505294588,0.8122827913654979
physiology,Stress-Predict,within_dataset,13,0.6818223220791839,0.7743198931260626
physiology,Stress-Predict,other_datasets_only,13,0.6278540199174156,0.6045360699538499
physiology,Stress-Predict,all_datasets,13,0.6951815642458101,0.7604596793781881
physiology,Stress-Predict,within_dataset,14,0.7219051349486132,0.7902560946039207
physiology,Stress-Predict,other_datasets_only,14,0.6281871934045846,0.6245033853729506
physiology,Stress-Predict,all_datasets,14,0.7020405498666369,0.7756514278253409
physiology,Stress-Predict,within_dataset,15,0.6540729635182408,0.7107946026986507
physiology,Stress-Predict,other_datasets_only,15,0.5176411794102949,0.5094036315175745
physiology,Stress-Predict,all_datasets,15,0.6540729635182408,0.6864734299516908
physiology,Stress-Predict,within_dataset,16,0.6866406136922854,0.7606227901494944
physiology,Stress-Predict,other_datasets_only,16,0.6344622955565205,0.6695097491884291
physiology,Stress-Predict,all_datasets,16,0.699232884643219,0.7595889419597626
physiology,Stress-Predict,within_dataset,17,0.7433818433818433,0.7903133903133903
physiology,Stress-Predict,other_datasets_only,17,0.6281897281897282,0.6626087626087627
physiology,Stress-Predict,all_datasets,17,0.7018172018172018,0.7732039732039733
physiology,Stress-Predict,within_dataset,18,0.7053973846251508,0.769932711229607
physiology,Stress-Predict,other_datasets_only,18,0.5811194693074335,0.5673205103789755
physiology,Stress-Predict,all_datasets,18,0.6545975369770838,0.740700184091919
physiology,Stress-Predict,within_dataset,19,0.7679908824487138,0.8223502116574406
physiology,Stress-Predict,other_datasets_only,19,0.6265874308042982,0.6784435037447085
physiology,Stress-Predict,all_datasets,19,0.7481276457180072,0.8040337023770758
physiology,WESAD,within_dataset,0,0.9240683458535867,0.9941081160701134
physiology,WESAD,other_datasets_only,0,0.8983281779348946,0.9767270584769481
physiology,WESAD,all_datasets,0,0.9315068493150684,0.9921196052437767
physiology,WESAD,within_dataset,1,0.9755376344086022,0.9941628264208909
physiology,WESAD,other_datasets_only,1,0.7895929339477726,0.9069124423963134
physiology,WESAD,all_datasets,1,0.8920506912442396,0.9788018433179723
physiology,WESAD,within_dataset,2,0.8616219475429605,0.968947844437745
physiology,WESAD,other_datasets_only,2,0.6254899005125113,0.6793035875791379
physiology,WESAD,all_datasets,2,0.7743442870063311,0.8022309315646668
physiology,WESAD,within_dataset,3,0.9908256880733946,0.9997706422018349
physiology,WESAD,other_datasets_only,3,0.9107798165137615,0.9866972477064221
