features,test_dataset,trained_on,split,balanced_accuracy,auroc
physiology,Stress-Predict,within_dataset,0,0.6046091573816156,0.6601236072423398
physiology,Stress-Predict,other_datasets_only,0,0.546164113277623,0.622990656917363
physiology,Stress-Predict,all_datasets,0,0.6356705547818013,0.7001073584029713
physiology,Stress-Predict,within_dataset,1,0.670523074969847,0.7256395607185933
physiology,Stress-Predict,other_datasets_only,1,0.5401352123405065,0.5907525550688757
physiology,Stress-Predict,all_datasets,1,0.648098774836539,0.6964387735669396
physiology,Stress-Predict,within_dataset,2,0.6208242175984111,0.7047588015329951
physiology,Stress-Predict,other_datasets_only,2,0.5363931170382783,0.618737296156651
physiology,Stress-Predict,all_datasets,2,0.6190708932644416,0.6858135890393955
physiology,Stress-Predict,within_dataset,3,0.6647822290627636,0.7412351452546211
physiology,Stress-Predict,other_datasets_only,3,0.5449083186574122,0.5958399313314884
physiology,Stress-Predict,all_datasets,3,0.6560876707463261,0.7101419247902206
physiology,Stress-Predict,within_dataset,4,0.680672268907563,0.7536661723512935
physiology,Stress-Predict,other_datasets_only,4,0.5606060606060606,0.6051618508365912
physiology,Stress-Predict,all_datasets,4,0.680672268907563,0.7330397399601551
physiology,Stress-Predict,within_dataset,5,0.6826254826254826,0.770918918918919
physiology,Stress-Predict,other_datasets_only,5,0.5971428571428572,0.6515289575289577
physiology,Stress-Predict,all_datasets,5,0.7584942084942086,0.8118764478764479
physiology,Stress-Predict,within_dataset,6,0.6711564859299931,0.7254918782887212
physiology,Stress-Predict,other_datasets_only,6,0.597918096545413,0.6583662205444978
physiology,Stress-Predict,all_datasets,6,0.6988532372454817,0.7623827499428047
physiology,Stress-Predict,within_dataset,7,0.7034410602185538,0.7771370998992483
physiology,Stress-Predict,other_datasets_only,7,0.5548632101061768,0.5754863210106177
physiology,Stress-Predict,all_datasets,7,0.6425482445942804,0.7272417267302178
physiology,Stress-Predict,within_dataset,8,0.6290526849037488,0.6839222391084094
physiology,Stress-Predict,other_datasets_only,8,0.5641780648429584,0.6300500253292807
physiology,Stress-Predict,all_datasets,8,0.6166413373860182,0.6696428571428571
physiology,Stress-Predict,within_dataset,9,0.6547155460906602,0.7378004259202919
physiology,Stress-Predict,other_datasets_only,9,0.5782476422269547,0.599650136902951
physiology,Stress-Predict,all_datasets,9,0.6488895649528446,0.706099787039854
physiology,Stress-Predict,within_dataset,10,0.6755861919235779,0.7598939271757335
physiology,Stress-Predict,other_datasets_only,10,0.5522145028224056,0.5789032938403325
physiology,Stress-Predict,all_datasets,10,0.6676074685193226,0.7406023199553378
physiology,Stress-Predict,within_dataset,11,0.6945203786931072,0.7891550448655578
physiology,Stress-Predict,other_datasets_only,11,0.5071043568240436,0.5310738389782081
physiology,Stress-Predict,all_datasets,11,0.6851920492980587,0.7522741663963922
physiology,Stress-Predict,within_dataset,12,0.6304290583536916,0.6834944923126436
physiology,Stress-Predict,other_datasets_only,12,0.5043593381997982,0.5488889539051186
physiology,Stress-Predict,all_datasets,12,0.600528094325546,0.6390526485173862
physiology,Stress-Predict,within_dataset,13,0.6494419902348292,0.6868170192978378
physiology,Stress-Predict,other_datasets_only,13,0.5552342478493374,0.6282841199720995
physiology,Stress-Predict,all_datasets,13,0.6737677284352476,0.7375174378051615
physiology,Stress-Predict,within_dataset,14,0.6853780624300461,0.7445280437756499
physiology,Stress-Predict,other_datasets_only,14,0.5490144260664096,0.5898908717821166
physiology,Stress-Predict,all_datasets,14,0.6472997761472454,0.7030064668573561
physiology,Stress-Predict,within_dataset,15,0.6383312969104555,0.6905853790126788
physiology,Stress-Predict,other_datasets_only,15,0.5584744283470064,0.6084196829527603
physiology,Stress-Predict,all_datasets,15,0.6270807216871102,0.674733017026611
physiology,Stress-Predict,within_dataset,16,0.6102280526611343,0.6574608473201473
physiology,Stress-Predict,other_datasets_only,16,0.5583234541710863,0.6214513009296811
physiology,Stress-Predict,all_datasets,16,0.5918450115430212,0.649045360953391
physiology,Stress-Predict,within_dataset,17,0.7295479095183632,0.7604047528275513
physiology,Stress-Predict,other_datasets_only,17,0.5845088321260643,0.6550387596899225
physiology,Stress-Predict,all_datasets,17,0.7156563731096708,0.7758927436777225
physiology,Stress-Predict,within_dataset,18,0.5403903903903904,0.6066066066066067
physiology,Stress-Predict,other_datasets_only,18,0.4991741741741742,0.49736486486486486
physiology,Stress-Predict,all_datasets,18,0.5533033033033034,0.5900000000000001
physiology,Stress-Predict,within_dataset,19,0.7084217147705496,0.7820330900100937
physiology,Stress-Predict,other_datasets_only,19,0.5310858848139968,0.5750596117555845
physiology,Stress-Predict,all_datasets,19,0.7007270439883555,0.7818648605158063
physiology,WESAD,within_dataset,0,0.7963985859478568,0.8007070260715864
physiology,WESAD,other_datasets_only,0,0.7712476064221534,0.8553542495212844
physiology,WESAD,all_datasets,0,0.8109809986743262,0.9237001031079688
physiology,WESAD,within_dataset,1,0.9099462365591398,0.9801843317972351
physiology,WESAD,other_datasets_only,1,0.8001920122887864,0.9112135176651306
physiology,WESAD,all_datasets,1,0.8938172043010753,0.9708141321044547
physiology,WESAD,within_dataset,2,0.9212390714501055,0.9791227012360567
physiology,WESAD,other_datasets_only,2,0.7622851974675913,0.8948598130841121
physiology,WESAD,all_datasets,2,0.8730780826047633,0.9816852577630388
physiology,WESAD,within_dataset,3,0.900611620795107,0.9770642201834863
physiology,WESAD,other_datasets_only,3,0.8966360856269113,0.9553516819571864
physiology,WESAD,all_datasets,3,0.9589449541284403,0.9891437308868501
physiology,WESAD,within_dataset,4,0.9360730593607306,0.9859270903510742
physiology,WESAD,other_datasets_only,4,0.8618908600943185,0.9309828579983532
physiology,WESAD,all_datasets,4,0.8882401377348603,0.9644434463657459
physiology,WESAD,within_dataset,5,0.7755376344086022,0.887173579109063
physiology,WESAD,other_datasets_only,5,0.6910138248847926,0.7562980030721966
physiology,WESAD,all_datasets,5,0.813863287250384,0.9235023041474654
physiology,WESAD,within_dataset,6,0.9124400147655962,0.9529715762273901
physiology,WESAD,other_datasets_only,6,0.7140273163528977,0.7459579180509414
physiology,WESAD,all_datasets,6,0.8129568106312293,0.9235880398671097
physiology,WESAD,within_dataset,7,0.7761376728110598,0.8400777649769585
physiology,WESAD,other_datasets_only,7,0.6631264400921659,0.6691388248847926
physiology,WESAD,all_datasets,7,0.7805299539170507,0.8984014976958525
physiology,WESAD,within_dataset,8,0.7943265090277254,0.8835083478129485
physiology,WESAD,other_datasets_only,8,0.6832363828662084,0.7244843997884717
physiology,WESAD,all_datasets,8,0.7405756591372668,0.878824507063534
physiology,WESAD,within_dataset,9,0.9199074074074074,0.9878858024691357
physiology,WESAD,other_datasets_only,9,0.8722222222222222,0.9568672839506174
physiology,WESAD,all_datasets,9,0.9097222222222222,0.9706018518518518
physiology,WESAD,within_dataset,10,0.9571044546850997,0.9839477726574501
physiology,WESAD,other_datasets_only,10,0.8076420890937019,0.8920122887864823
physiology,WESAD,all_datasets,10,0.8869047619047619,0.9655913978494624
physiology,WESAD,within_dataset,11,0.9382920506912442,0.9856710829493087
physiology,WESAD,other_datasets_only,11,0.7930587557603687,0.8865927419354839
physiology,WESAD,all_datasets,11,0.8891129032258065,0.9621255760368664
physiology,WESAD,within_dataset,12,0.9039347749025168,0.9572492024104927
physiology,WESAD,other_datasets_only,12,0.7248138957816377,0.7582417582417582
physiology,WESAD,all_datasets,12,0.8186458702587736,0.9171924849344204
