features,test_dataset,trained_on,split,balanced_accuracy,auroc
physiology,Stress-Predict,within_dataset,0,0.706773734911792,0.7941039925719592
physiology,Stress-Predict,other_datasets_only,0,0.6830243152274837,0.684758008356546
physiology,Stress-Predict,all_datasets,0,0.7290578574744662,0.7946988161559889
physiology,Stress-Predict,within_dataset,1,0.7789468672633784,0.8459817177680442
physiology,Stress-Predict,other_datasets_only,1,0.5752713768805942,0.5982828667555387
physiology,Stress-Predict,all_datasets,1,0.6889957468418714,0.7856122643306036
physiology,Stress-Predict,within_dataset,2,0.7024856863566541,0.7784915204270043
physiology,Stress-Predict,other_datasets_only,2,0.5992800508929541,0.6341525857654889
physiology,Stress-Predict,all_datasets,2,0.663982373659793,0.7436577759158405
physiology,Stress-Predict,within_dataset,3,0.7500998949253378,0.8500466176318243
physiology,Stress-Predict,other_datasets_only,3,0.6517662902724541,0.6961196371224341
physiology,Stress-Predict,all_datasets,3,0.7391928490032706,0.8011277027127023
physiology,Stress-Predict,within_dataset,4,0.7439521263050675,0.8074267140011084
physiology,Stress-Predict,other_datasets_only,4,0.637764196587726,0.6948201740589284
physiology,Stress-Predict,all_datasets,4,0.7393684746625924,0.7978250123578844
physiology,Stress-Predict,within_dataset,5,0.7854054054054054,0.8764633204633205
physiology,Stress-Predict,other_datasets_only,5,0.6466795366795367,0.6897142857142857
physiology,Stress-Predict,all_datasets,5,0.7828185328185329,0.8624710424710424
physiology,Stress-Predict,within_dataset,6,0.7593514070006864,0.8454587051018074
physiology,Stress-Predict,other_datasets_only,6,0.6459334248455731,0.6932910089224433
physiology,Stress-Predict,all_datasets,6,0.7672443376801648,0.8446436742164265
physiology,Stress-Predict,within_dataset,7,0.7436952646671317,0.8052158412772225
physiology,Stress-Predict,other_datasets_only,7,0.5882662946601566,0.5958769278462372
physiology,Stress-Predict,all_datasets,7,0.6789506316360536,0.7474075796326437
physiology,Stress-Predict,within_dataset,8,0.7327444275582573,0.8014659321175279
physiology,Stress-Predict,other_datasets_only,8,0.6144566869300911,0.6423505572441743
physiology,Stress-Predict,all_datasets,8,0.6548885511651469,0.7524458586626139
physiology,Stress-Predict,within_dataset,9,0.7423942804989352,0.8374657742622451
physiology,Stress-Predict,other_datasets_only,9,0.6548828719196835,0.6542059628840889
physiology,Stress-Predict,all_datasets,9,0.6896562214785519,0.8146486157590508
physiology,Stress-Predict,within_dataset,10,0.7573816760746852,0.8181874573537622
physiology,Stress-Predict,other_datasets_only,10,0.5720798957881025,0.6325445071645679
physiology,Stress-Predict,all_datasets,10,0.7069040382110291,0.7870169344333479
physiology,Stress-Predict,within_dataset,11,0.7120341626897713,0.7617878268390246
physiology,Stress-Predict,other_datasets_only,11,0.5461551529753356,0.6032988926469907
physiology,Stress-Predict,all_datasets,11,0.7007135245331975,0.7597182968076726
physiology,Stress-Predict,within_dataset,12,0.7275633054901329,0.8082622624672684
physiology,Stress-Predict,other_datasets_only,12,0.629836597960766,0.6460158867157215
physiology,Stress-Predict,all_datasets,12,0.7220775611111925,0.8006114776401059
physiology,Stress-Predict,within_dataset,13,0.7302226226458963,0.8134009532666822
physiology,Stress-Predict,other_datasets_only,13,0.6446465938153918,0.6890548709602419
physiology,Stress-Predict,all_datasets,13,0.7399732620320856,0.8093030690537084
physiology,Stress-Predict,within_dataset,14,0.7146266011690088,0.7741418977739087
physiology,Stress-Predict,other_datasets_only,14,0.6215256187041412,0.5998632010943913
physiology,Stress-Predict,all_datasets,14,0.6727241636612362,0.7493470961323219
physiology,Stress-Predict,within_dataset,15,0.7224091147114362,0.7842396737491868
physiology,Stress-Predict,other_datasets_only,15,0.5824116536282709,0.6166552944350117
physiology,Stress-Predict,all_datasets,15,0.6965359653437853,0.7602865802377061
physiology,Stress-Predict,within_dataset,16,0.6800243339364822,0.7322643039870218
physiology,Stress-Predict,other_datasets_only,16,0.6749469644974107,0.7186232607474886
physiology,Stress-Predict,all_datasets,16,0.7040306981967929,0.7628611093779248
physiology,Stress-Predict,within_dataset,17,0.8080918795272589,0.887962256957682
physiology,Stress-Predict,other_datasets_only,17,0.6518935061634261,0.7036075104841784
physiology,Stress-Predict,all_datasets,17,0.7656547845977888,0.8522048544923116
physiology,Stress-Predict,within_dataset,18,0.6786411411411412,0.7418018018018019
physiology,Stress-Predict,other_datasets_only,18,0.6092717717717717,0.563963963963964
physiology,Stress-Predict,all_datasets,18,0.7093093093093092,0.736996996996997
physiology,Stress-Predict,within_dataset,19,0.7559063181146594,0.819277637180181
physiology,Stress-Predict,other_datasets_only,19,0.6308532892523296,0.7117058470720754
physiology,Stress-Predict,all_datasets,19,0.743625565031671,0.8073406574116064
physiology,WESAD,within_dataset,0,0.9240683458535867,0.9941081160701134
physiology,WESAD,other_datasets_only,0,0.8869126528207394,0.9747385476506112
physiology,WESAD,all_datasets,0,0.9269406392694064,0.9966858152894388
physiology,WESAD,within_dataset,1,0.9755376344086022,0.9941628264208909
physiology,WESAD,other_datasets_only,1,0.8062596006144394,0.9075268817204301
physiology,WESAD,all_datasets,1,0.8966589861751152,0.9758064516129032
physiology,WESAD,within_dataset,2,0.8616219475429605,0.968947844437745
physiology,WESAD,other_datasets_only,2,0.6010702441965632,0.6193096171239071
physiology,WESAD,all_datasets,2,0.7200030147723847,0.7598733795598432
physiology,WESAD,within_dataset,3,0.9908256880733946,0.9997706422018349
physiology,WESAD,other_datasets_only,3,0.9076452599388379,0.9830275229357798
physiology,WESAD,all_datasets,3,0.9724770642201834,1.0
physiology,WESAD,within_dataset,4,0.9826708585972004,0.9987274496594056
physiology,WESAD,other_datasets_only,4,0.8881278538812785,0.9678868178755895
physiology,WESAD,all_datasets,4,0.9406392694063928,0.9964817725877686
physiology,WESAD,within_dataset,5,0.9422043010752688,0.9919354838709677
physiology,WESAD,other_datasets_only,5,0.8094470046082949,0.9284178187403994
physiology,WESAD,all_datasets,5,0.9202380952380952,0.9833333333333333
physiology,WESAD,within_dataset,6,0.7806570690291621,0.9353266888150609
physiology,WESAD,other_datasets_only,6,0.623735695828719,0.6653377630121816
physiology,WESAD,all_datasets,6,0.6791435954226652,0.7746770025839793
physiology,WESAD,within_dataset,7,0.8046875,0.9493807603686636
physiology,WESAD,other_datasets_only,7,0.6962845622119815,0.7459677419354839
physiology,WESAD,all_datasets,7,0.7432675691244239,0.7947148617511521
physiology,WESAD,within_dataset,8,0.8399184105159779,0.957014429251341
physiology,WESAD,other_datasets_only,8,0.7956485608521568,0.9073052806527158
physiology,WESAD,all_datasets,8,0.8466042154566744,0.9549746921507896
physiology,WESAD,within_dataset,9,0.9861111111111112,0.9989969135802469
physiology,WESAD,other_datasets_only,9,0.799537037037037,0.8934413580246914
physiology,WESAD,all_datasets,9,0.9513888888888888,0.9878858024691358
physiology,WESAD,within_dataset,10,0.9732334869431644,0.9946236559139785
physiology,WESAD,other_datasets_only,10,0.8269969278033794,0.9169738863287251
physiology,WESAD,all_datasets,10,0.9386712749615975,0.9835637480798771
physiology,WESAD,within_dataset,11,0.8547667050691244,0.9601814516129032
physiology,WESAD,other_datasets_only,11,0.6939804147465438,0.7366791474654377
physiology,WESAD,all_datasets,11,0.7423675115207373,0.8269009216589863
physiology,WESAD,within_dataset,12,0.8361928394186459,0.9333569656150302
physiology,WESAD,other_datasets_only,12,0.7194257355547677,0.7537043601559732
physiology,WESAD,all_datasets,12,0.7578518255937611,0.8060262318326833
physiology,WESAD,within_dataset,13,0.8940092165898618,0.9513155938754274
physiology,WESAD,other_datasets_only,13,0.8099078341013826,0.8934889252266983
physiology,WESAD,all_datasets,13,0.8767281105990783,0.9587483276349041
physiology,WESAD,within_dataset,14,0.9792626728110598,0.9988283995938452
physiology,WESAD,other_datasets_only,14,0.8608529250956807,0.946496914785597
physiology,WESAD,all_datasets,14,0.9631336405529953,0.9932828243380457
physiology,WESAD,within_dataset,15,0.7962033152211294,0.9546048559048077
physiology,WESAD,other_datasets_only,15,0.6400715317422105,0.7001857074076622
physiology,WESAD,all_datasets,15,0.7280762088176629,0.7692413508494395
physiology,WESAD,within_dataset,16,0.8613322161709258,0.9655774333193687
physiology,WESAD,other_datasets_only,16,0.63943583298422,0.693618209747242
physiology,WESAD,all_datasets,16,0.7721337801982964,0.8131545873481358
physiology,WESAD,within_dataset,17,0.873015873015873,0.9747207524985302
physiology,WESAD,other_datasets_only,17,0.7106481481481481,0.7431657848324515
physiology,WESAD,all_datasets,17,0.781084656084656,0.8171663727219284
physiology,WESAD,within_dataset,18,0.9207364341085271,0.9761240310077519
physiology,WESAD,other_datasets_only,18,0.7341085271317829,0.8337984496124031
physiology,WESAD,all_datasets,18,0.828875968992248,0.9454263565891472
physiology,WESAD,within_dataset,19,0.9169653524492234,0.9716995221027478
physiology,WESAD,other_datasets_only,19,0.8106332138590202,0.895310633213859
physiology,WESAD,all_datasets,19,0.9019563918757467,0.9714008363201913
hr_hrv_eda,Stress-Predict,within_dataset,0,0.6629308844011141,0.7395253017641596
