features,test_dataset,trained_on,split,balanced_accuracy,auroc
physiology,Campanella2024,within_dataset,0,0.7875,0.8395833333333333
physiology,Campanella2024,other_datasets_only,0,0.7375,0.8416666666666667
physiology,Campanella2024,all_datasets,0,0.7416666666666667,0.8604166666666667
physiology,Campanella2024,within_dataset,1,0.6079545454545454,0.6704545454545454
physiology,Campanella2024,other_datasets_only,1,0.6931818181818181,0.6893939393939394
physiology,Campanella2024,all_datasets,1,0.7007575757575758,0.7613636363636364
physiology,Campanella2024,within_dataset,2,0.6458333333333334,0.7291666666666666
physiology,Campanella2024,other_datasets_only,2,0.7083333333333334,0.7135416666666666
physiology,Campanella2024,all_datasets,2,0.6875,0.7083333333333333
physiology,Campanella2024,within_dataset,3,0.6799242424242424,0.6893939393939394
physiology,Campanella2024,other_datasets_only,3,0.6609848484848485,0.7348484848484849
physiology,Campanella2024,all_datasets,3,0.7045454545454546,0.7291666666666667
physiology,Campanella2024,within_dataset,4,0.6458333333333334,0.7048611111111112
physiology,Campanella2024,other_datasets_only,4,0.7291666666666666,0.7864583333333333
physiology,Campanella2024,all_datasets,4,0.6458333333333333,0.78125
physiology,Campanella2024,within_dataset,5,0.6853070175438596,0.6293859649122807
physiology,Campanella2024,other_datasets_only,5,0.7905701754385965,0.8530701754385965
physiology,Campanella2024,all_datasets,5,0.8114035087719298,0.8333333333333334
physiology,Campanella2024,within_dataset,6,0.7182017543859649,0.7171052631578947
physiology,Campanella2024,other_datasets_only,6,0.7379385964912281,0.7807017543859649
physiology,Campanella2024,all_datasets,6,0.6962719298245614,0.780701754385965
physiology,Campanella2024,within_dataset,7,0.7113095238095238,0.8035714285714285
physiology,Campanella2024,other_datasets_only,7,0.7291666666666666,0.875
physiology,Campanella2024,all_datasets,7,0.75,0.867063492063492
physiology,Campanella2024,within_dataset,8,0.6340579710144928,0.8188405797101449
physiology,Campanella2024,other_datasets_only,8,0.7201086956521738,0.802536231884058
physiology,Campanella2024,all_datasets,8,0.786231884057971,0.8550724637681159
