features,test_dataset,trained_on,balanced_accuracy,auroc
physiology,Campanella2024,within_dataset,0.988,1.0
physiology,Campanella2024,other_datasets_only,0.787,0.898
physiology,Campanella2024,all_datasets,0.938,0.982
physiology,PhysioNet,within_dataset,0.75,0.834
physiology,PhysioNet,other_datasets_only,0.699,0.802
physiology,PhysioNet,all_datasets,0.752,0.836
physiology,Stress-Predict,within_dataset,0.709,0.792
physiology,Stress-Predict,other_datasets_only,0.622,0.712
physiology,Stress-Predict,all_datasets,0.703,0.787
physiology,UBFC-Phys,within_dataset,0.896,0.976
physiology,UBFC-Phys,other_datasets_only,0.554,0.949
physiology,UBFC-Phys,all_datasets,0.93,0.984
physiology,WESAD,within_dataset,0.871,0.967
physiology,WESAD,other_datasets_only,0.721,0.847
physiology,WESAD,all_datasets,0.804,0.926
hr_hrv_eda,Campanella2024,within_dataset,0.988,1.0
hr_hrv_eda,Campanella2024,other_datasets_only,0.952,0.97
hr_hrv_eda,Campanella2024,all_datasets,0.963,0.979
hr_hrv_eda,PhysioNet,within_dataset,0.713,0.79
hr_hrv_eda,PhysioNet,other_datasets_only,0.701,0.794
hr_hrv_eda,PhysioNet,all_datasets,0.738,0.821
hr_hrv_eda,Stress-Predict,within_dataset,0.708,0.768
hr_hrv_eda,Stress-Predict,other_datasets_only,0.612,0.698
hr_hrv_eda,Stress-Predict,all_datasets,0.68,0.763
hr_hrv_eda,UBFC-Phys,within_dataset,0.896,0.976
hr_hrv_eda,UBFC-Phys,other_datasets_only,0.764,0.894
hr_hrv_eda,UBFC-Phys,all_datasets,0.836,0.952
hr_hrv_eda,WESAD,within_dataset,0.791,0.959
hr_hrv_eda,WESAD,other_datasets_only,0.778,0.885
hr_hrv_eda,WESAD,all_datasets,0.82,0.927
