features,test_dataset,trained_on,balanced_accuracy,auroc
physiology,Campanella2024,within_dataset,0.893,0.964
physiology,Campanella2024,other_datasets_only,0.805,0.863
physiology,Campanella2024,all_datasets,0.838,0.893
physiology,PhysioNet,within_dataset,0.767,0.852
physiology,PhysioNet,other_datasets_only,0.721,0.763
physiology,PhysioNet,all_datasets,0.741,0.825
physiology,Stress-Predict,within_dataset,0.704,0.773
physiology,Stress-Predict,other_datasets_only,0.652,0.719
physiology,Stress-Predict,all_datasets,0.691,0.761
physiology,UBFC-Phys,within_dataset,0.88,0.95
physiology,UBFC-Phys,other_datasets_only,0.578,0.935
physiology,UBFC-Phys,all_datasets,0.904,0.963
physiology,WESAD,within_dataset,0.862,0.943
physiology,WESAD,other_datasets_only,0.808,0.917
physiology,WESAD,all_datasets,0.858,0.946
hr_hrv_eda,Campanella2024,within_dataset,0.874,0.917
hr_hrv_eda,Campanella2024,other_datasets_only,0.765,0.845
hr_hrv_eda,Campanella2024,all_datasets,0.782,0.886
hr_hrv_eda,PhysioNet,within_dataset,0.774,0.851
hr_hrv_eda,PhysioNet,other_datasets_only,0.744,0.811
hr_hrv_eda,PhysioNet,all_datasets,0.776,0.847
hr_hrv_eda,Stress-Predict,within_dataset,0.688,0.751
hr_hrv_eda,Stress-Predict,other_datasets_only,0.665,0.732
hr_hrv_eda,Stress-Predict,all_datasets,0.679,0.753
hr_hrv_eda,UBFC-Phys,within_dataset,0.88,0.95
hr_hrv_eda,UBFC-Phys,other_datasets_only,0.742,0.944
hr_hrv_eda,UBFC-Phys,all_datasets,0.825,0.956
hr_hrv_eda,WESAD,within_dataset,0.845,0.96
hr_hrv_eda,WESAD,other_datasets_only,0.841,0.934
hr_hrv_eda,WESAD,all_datasets,0.859,0.95
