features,test_dataset,trained_on,balanced_accuracy,auroc
physiology,Campanella2024,within_dataset,0.666,0.7
physiology,Campanella2024,other_datasets_only,0.722,0.789
physiology,Campanella2024,all_datasets,0.726,0.795
physiology,PhysioNet,within_dataset,0.662,0.735
physiology,PhysioNet,other_datasets_only,0.68,0.786
physiology,PhysioNet,all_datasets,0.701,0.796
physiology,Stress-Predict,within_dataset,0.648,0.714
physiology,Stress-Predict,other_datasets_only,0.599,0.642
physiology,Stress-Predict,all_datasets,0.649,0.706
physiology,UBFC-Phys,within_dataset,0.737,0.86
physiology,UBFC-Phys,other_datasets_only,0.756,0.824
physiology,UBFC-Phys,all_datasets,0.752,0.874
physiology,WESAD,within_dataset,0.885,0.946
physiology,WESAD,other_datasets_only,0.792,0.874
physiology,WESAD,all_datasets,0.856,0.944
hr_hrv_eda,Campanella2024,within_dataset,0.681,0.726
hr_hrv_eda,Campanella2024,other_datasets_only,0.691,0.784
hr_hrv_eda,Campanella2024,all_datasets,0.705,0.794
hr_hrv_eda,PhysioNet,within_dataset,0.696,0.767
hr_hrv_eda,PhysioNet,other_datasets_only,0.705,0.787
hr_hrv_eda,PhysioNet,all_datasets,0.727,0.805
hr_hrv_eda,Stress-Predict,within_dataset,0.662,0.715
hr_hrv_eda,Stress-Predict,other_datasets_only,0.616,0.672
hr_hrv_eda,Stress-Predict,all_datasets,0.647,0.708
hr_hrv_eda,UBFC-Phys,within_dataset,0.737,0.86
hr_hrv_eda,UBFC-Phys,other_datasets_only,0.724,0.82
hr_hrv_eda,UBFC-Phys,all_datasets,0.749,0.841
hr_hrv_eda,WESAD,within_dataset,0.834,0.923
hr_hrv_eda,WESAD,other_datasets_only,0.807,0.886
hr_hrv_eda,WESAD,all_datasets,0.856,0.94
