features,test_dataset,trained_on,balanced_accuracy,auroc
physiology,Campanella2024,within_dataset,0.897,0.957
physiology,Campanella2024,other_datasets_only,0.827,0.922
physiology,Campanella2024,all_datasets,0.895,0.947
physiology,PhysioNet,within_dataset,0.76,0.853
physiology,PhysioNet,other_datasets_only,0.735,0.8
physiology,PhysioNet,all_datasets,0.77,0.832
physiology,Stress-Predict,within_dataset,0.712,0.786
physiology,Stress-Predict,other_datasets_only,0.645,0.706
physiology,Stress-Predict,all_datasets,0.699,0.772
physiology,UBFC-Phys,within_dataset,0.877,0.952
physiology,UBFC-Phys,other_datasets_only,0.589,0.931
physiology,UBFC-Phys,all_datasets,0.867,0.928
physiology,WESAD,within_dataset,0.9,0.973
physiology,WESAD,other_datasets_only,0.84,0.918
physiology,WESAD,all_datasets,0.876,0.954
hr_hrv_eda,Campanella2024,within_dataset,0.882,0.95
hr_hrv_eda,Campanella2024,other_datasets_only,0.867,0.919
hr_hrv_eda,Campanella2024,all_datasets,0.895,0.934
hr_hrv_eda,PhysioNet,within_dataset,0.776,0.854
hr_hrv_eda,PhysioNet,other_datasets_only,0.746,0.811
hr_hrv_eda,PhysioNet,all_datasets,0.783,0.854
hr_hrv_eda,Stress-Predict,within_dataset,0.697,0.768
hr_hrv_eda,Stress-Predict,other_datasets_only,0.646,0.702
hr_hrv_eda,Stress-Predict,all_datasets,0.689,0.748
hr_hrv_eda,UBFC-Phys,within_dataset,0.877,0.952
hr_hrv_eda,UBFC-Phys,other_datasets_only,0.837,0.904
hr_hrv_eda,UBFC-Phys,all_datasets,0.839,0.922
hr_hrv_eda,WESAD,within_dataset,0.916,0.977
hr_hrv_eda,WESAD,other_datasets_only,0.884,0.969
hr_hrv_eda,WESAD,all_datasets,0.921,0.979
