features,test_dataset,trained_on,balanced_accuracy,auroc,exercise_called_stress
physiology,Campanella2024,within_dataset,0.897,0.957,
physiology,Campanella2024,other_datasets_only,0.806,0.869,
physiology,Campanella2024,all_datasets,0.879,0.909,
physiology,PhysioNet,within_dataset,0.818,0.938,0.012
physiology,PhysioNet,other_datasets_only,0.565,0.578,0.703
physiology,PhysioNet,all_datasets,0.845,0.932,0.023
physiology,Stress-Predict,within_dataset,0.712,0.786,
physiology,Stress-Predict,other_datasets_only,0.654,0.714,
physiology,Stress-Predict,all_datasets,0.689,0.774,
physiology,UBFC-Phys,within_dataset,0.877,0.952,
physiology,UBFC-Phys,other_datasets_only,0.595,0.912,
physiology,UBFC-Phys,all_datasets,0.829,0.926,
physiology,WESAD,within_dataset,0.9,0.973,
physiology,WESAD,other_datasets_only,0.784,0.9,
physiology,WESAD,all_datasets,0.828,0.937,
hr_hrv_eda,Campanella2024,within_dataset,0.882,0.95,
hr_hrv_eda,Campanella2024,other_datasets_only,0.847,0.92,
hr_hrv_eda,Campanella2024,all_datasets,0.86,0.93,
hr_hrv_eda,PhysioNet,within_dataset,0.805,0.911,0.043
hr_hrv_eda,PhysioNet,other_datasets_only,0.583,0.625,0.695
hr_hrv_eda,PhysioNet,all_datasets,0.822,0.91,0.064
hr_hrv_eda,Stress-Predict,within_dataset,0.697,0.768,
hr_hrv_eda,Stress-Predict,other_datasets_only,0.646,0.705,
hr_hrv_eda,Stress-Predict,all_datasets,0.664,0.744,
hr_hrv_eda,UBFC-Phys,within_dataset,0.877,0.952,
hr_hrv_eda,UBFC-Phys,other_datasets_only,0.853,0.898,
hr_hrv_eda,UBFC-Phys,all_datasets,0.864,0.917,
hr_hrv_eda,WESAD,within_dataset,0.916,0.977,
hr_hrv_eda,WESAD,other_datasets_only,0.782,0.929,
hr_hrv_eda,WESAD,all_datasets,0.849,0.956,
