features,test_dataset,trained_on,metric,variant_score,session,diff,t,p,n_splits,p_holm,variant
physiology,Campanella2024,within_dataset,balanced_accuracy,0.6656,0.8969,-0.2313,-4.0382,0.0007,20,0.0386,raw
physiology,Campanella2024,within_dataset,auroc,0.7003,0.9565,-0.2562,-6.4102,0.0,20,0.0002,raw
physiology,Campanella2024,other_datasets_only,balanced_accuracy,0.7217,0.8269,-0.1053,-2.5375,0.0201,20,0.8636,raw
physiology,Campanella2024,other_datasets_only,auroc,0.7893,0.9215,-0.1322,-3.5522,0.0021,20,0.1064,raw
physiology,Campanella2024,all_datasets,balanced_accuracy,0.7261,0.8947,-0.1686,-4.5663,0.0002,20,0.0122,raw
physiology,Campanella2024,all_datasets,auroc,0.7946,0.947,-0.1524,-4.24,0.0004,20,0.0253,raw
physiology,PhysioNet,within_dataset,balanced_accuracy,0.6619,0.7604,-0.0985,-3.355,0.0033,20,0.1597,raw
physiology,PhysioNet,within_dataset,auroc,0.7351,0.8527,-0.1176,-3.5182,0.0023,20,0.1126,raw
physiology,PhysioNet,other_datasets_only,balanced_accuracy,0.6802,0.7352,-0.055,-1.3278,0.2,20,1.0,raw
physiology,PhysioNet,other_datasets_only,auroc,0.7864,0.8001,-0.0137,-0.2963,0.7702,20,1.0,raw
physiology,PhysioNet,all_datasets,balanced_accuracy,0.7009,0.77,-0.0691,-1.6938,0.1066,20,1.0,raw
physiology,PhysioNet,all_datasets,auroc,0.7964,0.8318,-0.0354,-0.8069,0.4297,20,1.0,raw
physiology,Stress-Predict,within_dataset,balanced_accuracy,0.6479,0.7125,-0.0646,-2.826,0.0108,20,0.4965,raw
physiology,Stress-Predict,within_dataset,auroc,0.7138,0.7861,-0.0723,-2.3815,0.0279,20,1.0,raw
physiology,Stress-Predict,other_datasets_only,balanced_accuracy,0.5989,0.6445,-0.0456,-2.2641,0.0355,20,1.0,raw
physiology,Stress-Predict,other_datasets_only,auroc,0.6424,0.7061,-0.0637,-2.9076,0.009,20,0.4242,raw
physiology,Stress-Predict,all_datasets,balanced_accuracy,0.6493,0.6991,-0.0498,-2.2811,0.0342,20,1.0,raw
physiology,Stress-Predict,all_datasets,auroc,0.7061,0.7724,-0.0663,-2.512,0.0212,20,0.8904,raw
physiology,UBFC-Phys,within_dataset,balanced_accuracy,0.7373,0.8767,-0.1394,-1.9662,0.0641,20,1.0,raw
physiology,UBFC-Phys,within_dataset,auroc,0.8601,0.9518,-0.0916,-1.3128,0.2049,20,1.0,raw
physiology,UBFC-Phys,other_datasets_only,balanced_accuracy,0.7565,0.5894,0.1671,2.0362,0.0559,20,1.0,raw
physiology,UBFC-Phys,other_datasets_only,auroc,0.8242,0.9311,-0.1068,-1.264,0.2215,20,1.0,raw
physiology,UBFC-Phys,all_datasets,balanced_accuracy,0.7519,0.8667,-0.1148,-1.5066,0.1484,20,1.0,raw
physiology,UBFC-Phys,all_datasets,auroc,0.8745,0.9281,-0.0536,-0.8096,0.4282,20,1.0,raw
physiology,WESAD,within_dataset,balanced_accuracy,0.8845,0.8997,-0.0152,-0.3746,0.7121,20,1.0,raw
physiology,WESAD,within_dataset,auroc,0.9461,0.9735,-0.0274,-0.8288,0.4175,20,1.0,raw
physiology,WESAD,other_datasets_only,balanced_accuracy,0.7919,0.8397,-0.0479,-0.8444,0.409,20,1.0,raw
physiology,WESAD,other_datasets_only,auroc,0.8741,0.9183,-0.0442,-0.8254,0.4194,20,1.0,raw
physiology,WESAD,all_datasets,balanced_accuracy,0.8556,0.8762,-0.0206,-0.4357,0.668,20,1.0,raw
physiology,WESAD,all_datasets,auroc,0.9437,0.9538,-0.0101,-0.3372,0.7397,20,1.0,raw
hr_hrv_eda,Campanella2024,within_dataset,balanced_accuracy,0.6806,0.8823,-0.2017,-3.9069,0.0009,20,0.0512,raw
hr_hrv_eda,Campanella2024,within_dataset,auroc,0.7261,0.9497,-0.2236,-5.9449,0.0,20,0.0006,raw
hr_hrv_eda,Campanella2024,other_datasets_only,balanced_accuracy,0.6906,0.8675,-0.1769,-3.6496,0.0017,20,0.0871,raw
hr_hrv_eda,Campanella2024,other_datasets_only,auroc,0.7839,0.9188,-0.1349,-3.6575,0.0017,20,0.0871,raw
hr_hrv_eda,Campanella2024,all_datasets,balanced_accuracy,0.7053,0.8953,-0.19,-4.1039,0.0006,20,0.0338,raw
hr_hrv_eda,Campanella2024,all_datasets,auroc,0.7936,0.9345,-0.1409,-3.6676,0.0016,20,0.0867,raw
hr_hrv_eda,PhysioNet,within_dataset,balanced_accuracy,0.6956,0.7762,-0.0806,-2.8025,0.0114,20,0.5113,raw
hr_hrv_eda,PhysioNet,within_dataset,auroc,0.7672,0.8536,-0.0864,-2.7006,0.0142,20,0.6236,raw
hr_hrv_eda,PhysioNet,other_datasets_only,balanced_accuracy,0.7048,0.746,-0.0412,-0.9908,0.3342,20,1.0,raw
hr_hrv_eda,PhysioNet,other_datasets_only,auroc,0.7874,0.811,-0.0236,-0.4278,0.6736,20,1.0,raw
hr_hrv_eda,PhysioNet,all_datasets,balanced_accuracy,0.727,0.7829,-0.0559,-1.4966,0.1509,20,1.0,raw
hr_hrv_eda,PhysioNet,all_datasets,auroc,0.8053,0.8538,-0.0485,-0.9941,0.3327,20,1.0,raw
hr_hrv_eda,Stress-Predict,within_dataset,balanced_accuracy,0.6617,0.6973,-0.0356,-1.5765,0.1314,20,1.0,raw
hr_hrv_eda,Stress-Predict,within_dataset,auroc,0.7149,0.7681,-0.0532,-1.8934,0.0736,20,1.0,raw
hr_hrv_eda,Stress-Predict,other_datasets_only,balanced_accuracy,0.6162,0.6456,-0.0294,-1.2482,0.2271,20,1.0,raw
hr_hrv_eda,Stress-Predict,other_datasets_only,auroc,0.6724,0.7015,-0.0291,-1.2531,0.2254,20,1.0,raw
