task,normalisation,modality,n_classes,n_windows,n,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_sd,macro_f1_ci95_low,macro_f1_ci95_high
legacy_6class_session_labels,none,all_modalities,11,7686,20.0,0.4925683176524439,0.04326732311067103,0.4723185871094243,0.5128180481954635,0.33776482017768333,0.031007151814708082,0.3232530264263504,0.35227661392901627,0.3383176042107331,0.03416977790788377,0.3223256558856744,0.35430955253579177
legacy_6class_session_labels,none,acc_only,11,7686,20.0,0.5213845473695236,0.04561828514975575,0.500034532723266,0.5427345620157811,0.35357354694371557,0.0409646306479631,0.3344015096467979,0.37274558424063325,0.35241076135852495,0.04303337373568214,0.33227052249337313,0.37255100022367676
legacy_6class_session_labels,none,all_except_acc,11,7686,20.0,0.36571951451283796,0.042294965769475924,0.3459248612136859,0.38551416781199005,0.24067861645386937,0.0340154451822733,0.2247588980677784,0.2565983348399603,0.2367287481584043,0.0363897317043077,0.2196978294750326,0.253759666841776
legacy_6class_session_labels,none,physiology_only,11,7686,20.0,0.3599211766929173,0.04294815877036067,0.3398208196591785,0.3800215337266561,0.2318587381909544,0.029395571481480268,0.2181011872526751,0.2456162891292337,0.2303616697478803,0.02971268870704353,0.21645570337951348,0.24426763611624713
harmonized_all_classes,none,all_modalities,11,7686,20.0,0.4925683176524439,0.04326732311067103,0.4723185871094243,0.5128180481954635,0.33776482017768333,0.031007151814708082,0.3232530264263504,0.35227661392901627,0.3383176042107331,0.03416977790788377,0.3223256558856744,0.35430955253579177
harmonized_all_classes,none,acc_only,11,7686,20.0,0.5213845473695236,0.04561828514975575,0.500034532723266,0.5427345620157811,0.35357354694371557,0.0409646306479631,0.3344015096467979,0.37274558424063325,0.35241076135852495,0.04303337373568214,0.33227052249337313,0.37255100022367676
harmonized_all_classes,none,all_except_acc,11,7686,20.0,0.36571951451283796,0.042294965769475924,0.3459248612136859,0.38551416781199005,0.24067861645386937,0.0340154451822733,0.2247588980677784,0.2565983348399603,0.2367287481584043,0.0363897317043077,0.2196978294750326,0.253759666841776
harmonized_all_classes,none,physiology_only,11,7686,20.0,0.3599211766929173,0.04294815877036067,0.3398208196591785,0.3800215337266561,0.2318587381909544,0.029395571481480268,0.2181011872526751,0.2456162891292337,0.2303616697478803,0.02971268870704353,0.21645570337951348,0.24426763611624713
affective_only_no_exercise,none,all_modalities,9,3923,20.0,0.4899274080513341,0.03673974194781212,0.4727326795316078,0.5071221365710604,0.3187040462761745,0.029186776245581924,0.30504421451628744,0.33236387803606154,0.3148980453726599,0.030303469345581986,0.30071558515442315,0.3290805055908967
affective_only_no_exercise,none,acc_only,9,3923,20.0,0.49307956427629873,0.035415003990140734,0.47650483220549394,0.5096542963471036,0.32335910789067474,0.039225851677482465,0.30500084420152196,0.3417173715798275,0.31977924205484975,0.04173525149636188,0.3002465430989939,0.3393119410107056
affective_only_no_exercise,none,all_except_acc,9,3923,20.0,0.3726816511871974,0.0438515348151524,0.3521585011500814,0.39320480122431345,0.2469129219975133,0.032927751679818394,0.2315022598403406,0.26232358415468604,0.24131375227749624,0.03371694529619617,0.22553373613840408,0.2570937684165884
affective_only_no_exercise,none,physiology_only,9,3923,20.0,0.3647625401487145,0.04689713651767201,0.3428140046386023,0.38671107565882673,0.23314523262840678,0.03467922966981264,0.21691485353938936,0.2493756117174242,0.22923444892706307,0.03473753874853548,0.21297678034917827,0.24549211750494787
