index,dataset,coverage,threshold,auroc_pooled,ba_pooled,ba_splits,auroc_splits,model_ba,model_auroc,model_minus_index_ba,p_nb,n_splits,p_nb_holm
hr+eda,WESAD,1.0,0.1844,0.9518,0.8777,0.8362,0.9154,0.8842,0.9693,0.048,0.1769,20,0.7076
hr+eda,PhysioNet,1.0,0.2458,0.8042,0.7405,0.7434,0.805,0.746,0.811,0.0026,0.9114,20,1.0
hr+eda,Stress-Predict,1.0,0.335,0.7389,0.6697,0.6569,0.7309,0.6456,0.7015,-0.0113,0.4096,20,1.0
hr+eda,UBFC-Phys,1.0,0.2418,0.84,0.767,0.7625,0.8231,0.8373,0.904,0.0748,0.0275,20,0.1376
hr+eda,Campanella2024,1.0,0.2419,0.9482,0.8728,0.8766,0.9513,0.8675,0.9188,-0.0091,0.7934,20,1.0
eda_only,WESAD,1.0,0.0396,0.9446,0.8819,0.8222,0.9002,0.8842,0.9693,0.062,0.2216,20,0.8863
eda_only,PhysioNet,1.0,0.0386,0.6438,0.6184,0.5988,0.6204,0.746,0.811,0.1472,0.0001,20,0.0007
eda_only,Stress-Predict,1.0,0.0667,0.6986,0.6371,0.6277,0.6888,0.6456,0.7015,0.0179,0.3946,20,1.0
eda_only,UBFC-Phys,1.0,0.0407,0.9343,0.8541,0.851,0.916,0.8373,0.904,-0.0137,0.6851,20,1.0
eda_only,Campanella2024,1.0,0.0315,0.9812,0.8973,0.8974,0.9793,0.8675,0.9188,-0.0299,0.3502,20,1.0
hr_only,WESAD,0.731,0.4127,0.882,0.783,0.7999,0.8781,0.8842,0.9693,0.0843,0.2179,20,0.6536
hr_only,PhysioNet,0.9237,0.031,0.8195,0.7379,0.7486,0.8299,0.746,0.811,-0.0026,0.9551,20,1.0
hr_only,Stress-Predict,0.6029,0.4126,0.7047,0.6391,0.6408,0.7042,0.6456,0.7015,0.0048,0.8358,20,1.0
hr_only,UBFC-Phys,0.7415,0.4137,0.6037,0.5827,0.5627,0.5654,0.8262,0.9034,0.2635,0.0,18,0.0001
hr_only,Campanella2024,0.5688,0.4113,0.6352,0.5841,0.5486,0.5974,0.8675,0.9188,0.3189,0.0083,20,0.033
