dataset,label,n,hr_raw_nan,hr_z_nan,index_eda_fallback,index_missing
Campanella2024,Baseline,116,0.422,0.422,0.422,0.0
Campanella2024,Manual task,667,0.696,0.697,0.697,0.0
Campanella2024,Stress,102,0.441,0.441,0.441,0.0
EPM-E4,Anger,33,0.03,0.03,0.03,0.0
EPM-E4,Fear,394,0.02,0.02,0.02,0.0
EPM-E4,Happiness,297,0.03,0.03,0.03,0.0
EPM-E4,Sadness,131,0.046,0.046,0.046,0.0
PhysioNet,Aerobic,2143,0.259,0.307,0.267,0.04
PhysioNet,Anaerobic,1620,0.278,0.34,0.282,0.057
PhysioNet,Baseline,174,0.086,0.086,0.086,0.0
PhysioNet,Rest,1193,0.071,0.071,0.071,0.0
PhysioNet,Stress,232,0.095,0.095,0.095,0.0
Stress-Predict,Baseline,616,0.398,0.398,0.398,0.0
Stress-Predict,Hyperventilation,53,0.377,0.377,0.377,0.0
Stress-Predict,Rest,1079,0.401,0.402,0.402,0.0
Stress-Predict,Stress,851,0.39,0.39,0.39,0.0
UBFC-Phys,Baseline,95,0.105,0.105,0.105,0.0
UBFC-Phys,Control task,80,0.212,0.212,0.212,0.0
UBFC-Phys,Stress,110,0.391,0.391,0.391,0.0
WESAD,Amusement,165,0.261,0.261,0.261,0.0
WESAD,Baseline,566,0.102,0.102,0.102,0.0
WESAD,Meditation,356,0.219,0.219,0.219,0.0
WESAD,Stress,311,0.633,0.633,0.633,0.0
