task,normalisation,model,a,b,mean_a,mean_b,mean_diff_a_minus_b,t,p,n_splits,p_holm,significant_0.05
shared_Baseline_vs_Stress_pooled,none,random_forest,all_modalities,physiology_only,0.825,0.7981,0.0269,0.9506,0.3537,20,1.0,False
shared_Baseline_vs_Stress_pooled,none,mlp,all_modalities,physiology_only,0.8094,0.7859,0.0235,0.8939,0.3826,20,1.0,False
shared_Baseline_vs_Stress_pooled,none,xgboost,all_modalities,physiology_only,0.8305,0.7969,0.0336,1.5731,0.1322,20,1.0,False
within_WESAD,none,xgboost,all_modalities,physiology_only,0.5944,0.4953,0.0991,2.4991,0.0218,20,0.4574,False
within_WESAD,none,random_forest,all_modalities,physiology_only,0.5665,0.4996,0.0669,1.6033,0.1254,20,1.0,False
within_WESAD,none,mlp,all_modalities,physiology_only,0.5746,0.4841,0.0904,2.4728,0.023,20,0.4605,False
within_PhysioNet_stress_session,none,xgboost,all_modalities,physiology_only,0.4781,0.4736,0.0044,0.1748,0.8631,20,1.0,False
within_PhysioNet_stress_session,none,random_forest,all_modalities,physiology_only,0.4731,0.4814,-0.0083,-0.2428,0.8108,20,1.0,False
within_PhysioNet_stress_session,none,mlp,all_modalities,physiology_only,0.4635,0.4505,0.013,0.4796,0.637,20,1.0,False
affective_only_no_exercise,none,xgboost,all_modalities,physiology_only,0.3276,0.2593,0.0682,4.0391,0.0007,20,0.0161,True
affective_only_no_exercise,none,random_forest,all_modalities,physiology_only,0.3292,0.2468,0.0824,2.4628,0.0235,20,0.4605,False
affective_only_no_exercise,none,mlp,all_modalities,physiology_only,0.3148,0.2308,0.084,4.3258,0.0004,20,0.0087,True
shared_Baseline_vs_Stress_pooled,subject_zscore,xgboost,all_modalities,physiology_only,0.8302,0.7925,0.0376,1.5236,0.1441,20,1.0,False
shared_Baseline_vs_Stress_pooled,subject_zscore,random_forest,all_modalities,physiology_only,0.7979,0.7674,0.0305,1.4998,0.1501,20,1.0,False
shared_Baseline_vs_Stress_pooled,subject_zscore,mlp,all_modalities,physiology_only,0.8036,0.7442,0.0593,2.1641,0.0434,20,0.7378,False
within_WESAD,subject_zscore,xgboost,all_modalities,physiology_only,0.6782,0.6721,0.0061,0.2275,0.8225,20,1.0,False
within_WESAD,subject_zscore,random_forest,all_modalities,physiology_only,0.6598,0.614,0.0458,0.9392,0.3594,20,1.0,False
within_WESAD,subject_zscore,mlp,all_modalities,physiology_only,0.6829,0.611,0.0719,2.2928,0.0334,20,0.602,False
within_PhysioNet_stress_session,subject_zscore,xgboost,all_modalities,physiology_only,0.4207,0.4211,-0.0004,-0.0166,0.9869,20,1.0,False
within_PhysioNet_stress_session,subject_zscore,random_forest,all_modalities,physiology_only,0.4076,0.4379,-0.0302,-1.1222,0.2757,20,1.0,False
within_PhysioNet_stress_session,subject_zscore,mlp,all_modalities,physiology_only,0.3942,0.347,0.0472,1.8628,0.078,20,1.0,False
affective_only_no_exercise,subject_zscore,xgboost,all_modalities,physiology_only,0.4211,0.3769,0.0442,1.2294,0.2339,20,1.0,False
affective_only_no_exercise,subject_zscore,random_forest,all_modalities,physiology_only,0.4078,0.3586,0.0492,2.8825,0.0095,20,0.2099,False
affective_only_no_exercise,subject_zscore,mlp,all_modalities,physiology_only,0.3356,0.3024,0.0332,1.4144,0.1734,20,1.0,False
