task,normalisation,modality,a,b,mean_a,mean_b,mean_diff_a_minus_b,t,p,n_splits,p_holm,significant_0.05
shared_Baseline_vs_Stress_pooled,none,all_modalities,mlp,random_forest,0.8094,0.825,-0.0156,-0.5217,0.6079,20,1.0,False
shared_Baseline_vs_Stress_pooled,none,all_modalities,mlp,xgboost,0.8094,0.8305,-0.0211,-0.7853,0.442,20,1.0,False
shared_Baseline_vs_Stress_pooled,none,all_modalities,random_forest,xgboost,0.825,0.8305,-0.0055,-0.1823,0.8573,20,1.0,False
shared_Baseline_vs_Stress_pooled,none,physiology_only,mlp,random_forest,0.7859,0.7981,-0.0122,-0.3252,0.7486,20,1.0,False
shared_Baseline_vs_Stress_pooled,none,physiology_only,mlp,xgboost,0.7859,0.7969,-0.011,-0.3324,0.7432,20,1.0,False
shared_Baseline_vs_Stress_pooled,none,physiology_only,random_forest,xgboost,0.7981,0.7969,0.0012,0.0414,0.9674,20,1.0,False
within_WESAD,none,all_modalities,mlp,random_forest,0.5746,0.5665,0.008,0.2283,0.8219,20,1.0,False
within_WESAD,none,all_modalities,mlp,xgboost,0.5746,0.5944,-0.0198,-0.5461,0.5914,20,1.0,False
within_WESAD,none,all_modalities,random_forest,xgboost,0.5665,0.5944,-0.0278,-0.8624,0.3992,20,1.0,False
within_WESAD,none,physiology_only,mlp,random_forest,0.4841,0.4996,-0.0155,-0.4886,0.6307,20,1.0,False
within_WESAD,none,physiology_only,mlp,xgboost,0.4841,0.4953,-0.0111,-0.2975,0.7693,20,1.0,False
within_WESAD,none,physiology_only,random_forest,xgboost,0.4996,0.4953,0.0044,0.2384,0.8141,20,1.0,False
within_PhysioNet_stress_session,none,all_modalities,mlp,random_forest,0.4635,0.4731,-0.0096,-0.2799,0.7826,20,1.0,False
within_PhysioNet_stress_session,none,all_modalities,mlp,xgboost,0.4635,0.4781,-0.0146,-0.4259,0.675,20,1.0,False
within_PhysioNet_stress_session,none,all_modalities,random_forest,xgboost,0.4731,0.4781,-0.005,-0.1682,0.8682,20,1.0,False
within_PhysioNet_stress_session,none,physiology_only,mlp,random_forest,0.4505,0.4814,-0.0309,-1.5319,0.142,20,1.0,False
within_PhysioNet_stress_session,none,physiology_only,mlp,xgboost,0.4505,0.4736,-0.0231,-0.9854,0.3368,20,1.0,False
within_PhysioNet_stress_session,none,physiology_only,random_forest,xgboost,0.4814,0.4736,0.0078,0.344,0.7346,20,1.0,False
affective_only_no_exercise,none,all_modalities,mlp,random_forest,0.3148,0.3292,-0.0144,-0.5509,0.5881,20,1.0,False
affective_only_no_exercise,none,all_modalities,mlp,xgboost,0.3148,0.3276,-0.0127,-0.6913,0.4977,20,1.0,False
affective_only_no_exercise,none,all_modalities,random_forest,xgboost,0.3292,0.3276,0.0016,0.0838,0.9341,20,1.0,False
affective_only_no_exercise,none,physiology_only,mlp,random_forest,0.2308,0.2468,-0.016,-0.8033,0.4318,20,1.0,False
affective_only_no_exercise,none,physiology_only,mlp,xgboost,0.2308,0.2593,-0.0285,-1.6411,0.1172,20,1.0,False
affective_only_no_exercise,none,physiology_only,random_forest,xgboost,0.2468,0.2593,-0.0126,-0.6869,0.5004,20,1.0,False
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,mlp,random_forest,0.8036,0.7979,0.0057,0.2068,0.8384,20,1.0,False
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,mlp,xgboost,0.8036,0.8302,-0.0266,-0.7752,0.4478,20,1.0,False
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,random_forest,xgboost,0.7979,0.8302,-0.0323,-1.0742,0.2962,20,1.0,False
shared_Baseline_vs_Stress_pooled,subject_zscore,physiology_only,mlp,random_forest,0.7442,0.7674,-0.0232,-1.0178,0.3215,20,1.0,False
shared_Baseline_vs_Stress_pooled,subject_zscore,physiology_only,mlp,xgboost,0.7442,0.7925,-0.0483,-1.743,0.0975,20,1.0,False
shared_Baseline_vs_Stress_pooled,subject_zscore,physiology_only,random_forest,xgboost,0.7674,0.7925,-0.0251,-1.0651,0.3002,20,1.0,False
within_WESAD,subject_zscore,all_modalities,mlp,random_forest,0.6829,0.6598,0.0231,0.6224,0.5411,20,1.0,False
within_WESAD,subject_zscore,all_modalities,mlp,xgboost,0.6829,0.6782,0.0047,0.1531,0.8799,20,1.0,False
