task,modality,model,a,b,mean_a,mean_b,mean_diff_a_minus_b,t,p,n_splits,p_holm,significant_0.05
shared_Baseline_vs_Stress_pooled,all_modalities,xgboost,none,subject_zscore,0.8173,0.8275,-0.0102,-0.4076,0.6881,20,1.0,False
shared_Baseline_vs_Stress_pooled,all_modalities,random_forest,none,subject_zscore,0.8141,0.7938,0.0203,0.4697,0.6439,20,1.0,False
shared_Baseline_vs_Stress_pooled,all_modalities,mlp,none,subject_zscore,0.8152,0.8159,-0.0008,-0.0198,0.9844,20,1.0,False
shared_Baseline_vs_Stress_pooled,physiology_only,xgboost,none,subject_zscore,0.7981,0.7799,0.0182,0.5896,0.5624,20,1.0,False
shared_Baseline_vs_Stress_pooled,physiology_only,random_forest,none,subject_zscore,0.7952,0.7643,0.0309,0.8283,0.4178,20,1.0,False
shared_Baseline_vs_Stress_pooled,physiology_only,mlp,none,subject_zscore,0.7937,0.7344,0.0593,1.5317,0.1421,20,1.0,False
shared_Baseline_vs_Stress_pooled,acc_only,xgboost,none,subject_zscore,0.7462,0.7274,0.0188,0.3868,0.7032,20,1.0,False
shared_Baseline_vs_Stress_pooled,acc_only,random_forest,none,subject_zscore,0.7715,0.7501,0.0214,0.5497,0.589,20,1.0,False
shared_Baseline_vs_Stress_pooled,acc_only,mlp,none,subject_zscore,0.772,0.7452,0.0269,0.6944,0.4958,20,1.0,False
within_WESAD,all_modalities,xgboost,none,subject_zscore,0.6,0.6786,-0.0786,-2.0358,0.056,20,1.0,False
within_WESAD,all_modalities,random_forest,none,subject_zscore,0.569,0.6511,-0.0821,-1.6277,0.12,20,1.0,False
within_WESAD,all_modalities,mlp,none,subject_zscore,0.5827,0.6836,-0.1008,-2.2357,0.0376,20,0.9769,False
within_WESAD,physiology_only,xgboost,none,subject_zscore,0.4944,0.6756,-0.1812,-4.2266,0.0005,20,0.0146,True
within_WESAD,physiology_only,random_forest,none,subject_zscore,0.4967,0.6127,-0.116,-1.9909,0.0611,20,1.0,False
within_WESAD,physiology_only,mlp,none,subject_zscore,0.477,0.6016,-0.1246,-2.6259,0.0166,20,0.4768,False
within_WESAD,acc_only,xgboost,none,subject_zscore,0.5558,0.5674,-0.0116,-0.2595,0.7981,20,1.0,False
within_WESAD,acc_only,random_forest,none,subject_zscore,0.5445,0.5512,-0.0067,-0.1555,0.8781,20,1.0,False
within_WESAD,acc_only,mlp,none,subject_zscore,0.5544,0.5605,-0.006,-0.1481,0.8838,20,1.0,False
within_PhysioNet_stress_session,all_modalities,xgboost,none,subject_zscore,0.4988,0.4377,0.061,2.0775,0.0516,20,1.0,False
within_PhysioNet_stress_session,all_modalities,random_forest,none,subject_zscore,0.496,0.4348,0.0612,1.4045,0.1763,20,1.0,False
within_PhysioNet_stress_session,all_modalities,mlp,none,subject_zscore,0.4488,0.4077,0.0411,1.104,0.2834,20,1.0,False
within_PhysioNet_stress_session,physiology_only,xgboost,none,subject_zscore,0.4767,0.4232,0.0535,1.6011,0.1259,20,1.0,False
within_PhysioNet_stress_session,physiology_only,random_forest,none,subject_zscore,0.48,0.4153,0.0647,1.7107,0.1034,20,1.0,False
within_PhysioNet_stress_session,physiology_only,mlp,none,subject_zscore,0.433,0.3403,0.0928,3.378,0.0032,20,0.0979,False
within_PhysioNet_stress_session,acc_only,xgboost,none,subject_zscore,0.4532,0.3632,0.0901,4.7299,0.0001,20,0.0051,True
within_PhysioNet_stress_session,acc_only,random_forest,none,subject_zscore,0.4384,0.3746,0.0638,2.4509,0.0241,20,0.6508,False
within_PhysioNet_stress_session,acc_only,mlp,none,subject_zscore,0.3665,0.3557,0.0108,0.4544,0.6547,20,1.0,False
affective_only_no_exercise,all_modalities,xgboost,none,subject_zscore,0.3226,0.4164,-0.0937,-3.2333,0.0044,20,0.1312,False
affective_only_no_exercise,all_modalities,random_forest,none,subject_zscore,0.3307,0.3952,-0.0645,-2.6315,0.0164,20,0.4768,False
affective_only_no_exercise,all_modalities,mlp,none,subject_zscore,0.306,0.3231,-0.0171,-0.6172,0.5445,20,1.0,False
affective_only_no_exercise,physiology_only,xgboost,none,subject_zscore,0.2468,0.3799,-0.1331,-4.7211,0.0001,20,0.0051,True
affective_only_no_exercise,physiology_only,random_forest,none,subject_zscore,0.2323,0.3615,-0.1292,-5.9346,0.0,20,0.0004,True
affective_only_no_exercise,physiology_only,mlp,none,subject_zscore,0.2287,0.3016,-0.0728,-4.4609,0.0003,20,0.0088,True
affective_only_no_exercise,acc_only,xgboost,none,subject_zscore,0.3174,0.3299,-0.0125,-0.4342,0.669,20,1.0,False
affective_only_no_exercise,acc_only,random_forest,none,subject_zscore,0.3252,0.3503,-0.025,-0.8097,0.4281,20,1.0,False
affective_only_no_exercise,acc_only,mlp,none,subject_zscore,0.3268,0.3221,0.0047,0.2027,0.8415,20,1.0,False
