,Campanella2024,PhysioNet,Stress-Predict,UBFC-Phys,WESAD
eda_mean,1.99,0.39,0.72,1.72,2.24
eda_std,0.98,0.44,0.55,1.24,1.57
eda_min,1.92,0.2,0.58,1.28,2.21
eda_max,1.67,0.36,0.61,1.7,2.23
eda_range,0.67,0.4,0.54,1.33,1.71
eda_scr_count,-0.72,-0.17,-0.19,-1.44,-1.33
eda_scr_amp_mean,0.2,0.42,0.47,1.13,1.86
eda_tonic_mean,2.0,0.39,0.72,1.72,2.24
eda_phasic_mean,0.64,0.73,0.78,1.26,1.92
eda_slope,0.55,0.72,0.34,-0.03,0.65
temp_mean,1.3,0.1,0.37,,-0.11
temp_std,-0.64,-0.51,-0.37,,0.54
temp_min,1.29,0.13,0.42,,-0.1
temp_max,1.37,0.09,0.35,,-0.1
temp_range,-0.63,-0.41,-0.48,,0.53
temp_slope,-0.31,-0.22,0.08,,-0.93
hr_mean,0.72,1.72,0.76,-0.08,2.16
hr_std,-0.65,0.29,-0.04,1.26,1.92
hrv_rmssd,-1.15,-0.42,-0.15,1.5,0.86
hrv_sdnn,-0.86,-0.54,-0.32,1.21,0.99
hrv_pnn50,-1.24,-0.31,-0.02,1.45,1.21
