features,test_dataset,source_stress_rate,target_stress_rate,fixed_0.5,prevalence,oracle,auroc,mean_score
physiology,Campanella2024,0.27,0.5,0.821,0.733,0.854,0.898,0.431
physiology,PhysioNet,0.329,0.145,0.732,0.728,0.762,0.789,0.389
physiology,Stress-Predict,0.221,0.351,0.642,0.636,0.668,0.704,0.315
physiology,UBFC-Phys,0.27,0.49,0.579,0.753,0.909,0.928,0.168
physiology,WESAD,0.295,0.223,0.834,0.835,0.856,0.909,0.378
hr_hrv_eda,Campanella2024,0.27,0.5,0.819,0.719,0.862,0.888,0.456
hr_hrv_eda,PhysioNet,0.329,0.145,0.723,0.735,0.764,0.794,0.401
hr_hrv_eda,Stress-Predict,0.221,0.351,0.639,0.63,0.662,0.699,0.353
hr_hrv_eda,UBFC-Phys,0.27,0.49,0.79,0.723,0.87,0.9,0.414
hr_hrv_eda,WESAD,0.295,0.223,0.877,0.886,0.909,0.962,0.399
