test_dataset,trained_on,split,balanced_accuracy,auroc
PhysioNet,PhysioNet (other subjects),0,0.7708133971291866,0.8817384370015948
PhysioNet,WESAD only,0,0.669377990430622,0.718421052631579
PhysioNet,both datasets,0,0.703468899521531,0.8220095693779903
PhysioNet,PhysioNet (other subjects),1,0.7216276477146042,0.8441471571906354
PhysioNet,WESAD only,1,0.5929765886287626,0.7901895206243033
PhysioNet,both datasets,1,0.7448717948717949,0.8526198439241918
PhysioNet,PhysioNet (other subjects),2,0.7973744292237444,0.8734398782343986
PhysioNet,WESAD only,2,0.7742009132420091,0.8175038051750381
PhysioNet,both datasets,2,0.8032724505327244,0.8981735159817352
PhysioNet,PhysioNet (other subjects),3,0.7184593459345934,0.8124812481248125
PhysioNet,WESAD only,3,0.8133813381338134,0.8607860786078607
PhysioNet,both datasets,3,0.7844284428442845,0.8845634563456346
PhysioNet,PhysioNet (other subjects),4,0.7835346058953383,0.8628100246721205
PhysioNet,WESAD only,4,0.7639267627580834,0.8532658096351124
PhysioNet,both datasets,4,0.7622711336190106,0.8810544085183742
PhysioNet,PhysioNet (other subjects),5,0.8171310629514963,0.8829721362229103
PhysioNet,WESAD only,5,0.7155830753353973,0.7479876160990713
PhysioNet,both datasets,5,0.7680426556587547,0.8491916064671483
PhysioNet,PhysioNet (other subjects),6,0.7442231075697211,0.8477091633466135
PhysioNet,WESAD only,6,0.596215139442231,0.6754980079681275
PhysioNet,both datasets,6,0.6862549800796813,0.7901394422310757
PhysioNet,PhysioNet (other subjects),7,0.6849662162162162,0.8378378378378378
PhysioNet,WESAD only,7,0.7328265765765766,0.8056493993993995
PhysioNet,both datasets,7,0.7395833333333334,0.8643018018018018
PhysioNet,PhysioNet (other subjects),8,0.7763888888888889,0.858641975308642
PhysioNet,WESAD only,8,0.7618055555555556,0.8662037037037037
PhysioNet,both datasets,8,0.8340277777777778,0.8972993827160494
PhysioNet,PhysioNet (other subjects),9,0.7047826086956521,0.7679710144927535
PhysioNet,WESAD only,9,0.7702898550724637,0.8783333333333333
PhysioNet,both datasets,9,0.7502173913043478,0.8647101449275362
PhysioNet,PhysioNet (other subjects),10,0.8085338398761783,0.8864499788940481
PhysioNet,WESAD only,10,0.6464401294498382,0.7814830448853244
PhysioNet,both datasets,10,0.7472562262558041,0.8668917968200366
PhysioNet,PhysioNet (other subjects),11,0.6989452820839527,0.8077440362426559
PhysioNet,WESAD only,11,0.7056699936292207,0.7733418277058116
PhysioNet,both datasets,11,0.7242514334253557,0.8175833510299427
PhysioNet,PhysioNet (other subjects),12,0.8576509368494101,0.9034524635669673
PhysioNet,WESAD only,12,0.7248438584316448,0.7648334489937543
PhysioNet,both datasets,12,0.7533830673143651,0.854528105482304
