split,accuracy,balanced_accuracy,macro_f1,inner_cv_balanced_accuracy,best_params,task,normalisation,modality,model
0,0.848605577689243,0.8384026687598116,0.8420860927152318,0.7902785629992298,"{""n_estimators"": 550, ""max_depth"": 6, ""learning_rate"": 0.11156052900799124, ""subsample"": 0.7083338992284194, ""colsample_bytree"": 0.8322630423037144, ""min_child_weight"": 4, ""gamma"": 0.5102838178446429, ""reg_lambda"": 0.09026333081421123}",shared_Baseline_vs_Stress_pooled,none,all_modalities,xgboost
1,0.8911290322580645,0.8844594594594595,0.8863215795460333,0.7941322550066928,"{""n_estimators"": 450, ""max_depth"": 7, ""learning_rate"": 0.028606686494301998, ""subsample"": 0.6106708040585431, ""colsample_bytree"": 0.5836702097803345, ""min_child_weight"": 1, ""gamma"": 0.902599068739319, ""reg_lambda"": 0.1483735016145254}",shared_Baseline_vs_Stress_pooled,none,all_modalities,xgboost
2,0.828125,0.81950945515821,0.8223904131188899,0.7819441801584658,"{""n_estimators"": 300, ""max_depth"": 4, ""learning_rate"": 0.08866715350720436, ""subsample"": 0.6858361846825385, ""colsample_bytree"": 0.5381688728055547, ""min_child_weight"": 1, ""gamma"": 0.6468966864932961, ""reg_lambda"": 0.03657746858967279}",shared_Baseline_vs_Stress_pooled,none,all_modalities,xgboost
3,0.7837837837837838,0.7942342892007321,0.7832376853180296,0.8575199610256085,"{""n_estimators"": 250, ""max_depth"": 4, ""learning_rate"": 0.02175013347672115, ""subsample"": 0.7335491703860679, ""colsample_bytree"": 0.720278952761505, ""min_child_weight"": 1, ""gamma"": 1.43071024418501, ""reg_lambda"": 0.049249538502986544}",shared_Baseline_vs_Stress_pooled,none,all_modalities,xgboost
4,0.8181818181818182,0.8170995039393055,0.815803244374673,0.842407559149884,"{""n_estimators"": 100, ""max_depth"": 6, ""learning_rate"": 0.20757509682382613, ""subsample"": 0.6473257789930638, ""colsample_bytree"": 0.9347387170182854, ""min_child_weight"": 10, ""gamma"": 0.2950935775943324, ""reg_lambda"": 0.21213742491757112}",shared_Baseline_vs_Stress_pooled,none,all_modalities,xgboost
5,0.8223938223938224,0.8254504504504505,0.820723486216444,0.8175241481244369,"{""n_estimators"": 450, ""max_depth"": 4, ""learning_rate"": 0.029927343887152763, ""subsample"": 0.67606746198414, ""colsample_bytree"": 0.636180215307896, ""min_child_weight"": 1, ""gamma"": 0.12119200046066264, ""reg_lambda"": 1.070731512572986}",shared_Baseline_vs_Stress_pooled,none,all_modalities,xgboost
6,0.7489878542510121,0.7571428571428571,0.7463897721250663,0.8567308990205272,"{""n_estimators"": 550, ""max_depth"": 3, ""learning_rate"": 0.02080167322507463, ""subsample"": 0.9718264008144739, ""colsample_bytree"": 0.93432148572423, ""min_child_weight"": 9, ""gamma"": 2.9500277493913503, ""reg_lambda"": 0.6663023565258693}",shared_Baseline_vs_Stress_pooled,none,all_modalities,xgboost
7,0.806949806949807,0.800091519219036,0.8014778023056168,0.8205295429733429,"{""n_estimators"": 250, ""max_depth"": 6, ""learning_rate"": 0.1547229582757542, ""subsample"": 0.7927171308804174, ""colsample_bytree"": 0.9582384219907444, ""min_child_weight"": 7, ""gamma"": 0.4613339164444239, ""reg_lambda"": 0.016285656456504278}",shared_Baseline_vs_Stress_pooled,none,all_modalities,xgboost
8,0.7372549019607844,0.7231624147511998,0.7258548482854896,0.8502240863518429,"{""n_estimators"": 450, ""max_depth"": 8, ""learning_rate"": 0.192027637804483, ""subsample"": 0.8788412766657804, ""colsample_bytree"": 0.7290472187924992, ""min_child_weight"": 1, ""gamma"": 0.3852969690062473, ""reg_lambda"": 0.010600735723085907}",shared_Baseline_vs_Stress_pooled,none,all_modalities,xgboost
9,0.8773946360153256,0.8792792792792793,0.8756402620607504,0.8156065825708684,"{""n_estimators"": 550, ""max_depth"": 2, ""learning_rate"": 0.11437731981746863, ""subsample"": 0.6747365832940951, ""colsample_bytree"": 0.8339898178911718, ""min_child_weight"": 4, ""gamma"": 1.1768769040309583, ""reg_lambda"": 0.023855887922019377}",shared_Baseline_vs_Stress_pooled,none,all_modalities,xgboost
