labels,normalisation,train,test,modality,n_train,n_test,accuracy,balanced_accuracy,macro_f1,auroc
Baseline_vs_Stress,none,WESAD,PhysioNet,all_modalities,816,390,0.5512820512820513,0.5696338266832588,0.5367825219392014,0.6734358865736451
Baseline_vs_Stress,none,WESAD,PhysioNet,acc_only,816,390,0.47692307692307695,0.5140459106674786,0.37106719367588936,0.5458312372580688
Baseline_vs_Stress,none,WESAD,PhysioNet,all_except_acc,816,390,0.5692307692307692,0.5824088538219174,0.5636770464292373,0.6518705816939818
Baseline_vs_Stress,none,WESAD,PhysioNet,physiology_only,816,390,0.5666666666666667,0.5804628134184119,0.560280470475212,0.6524795467182081
Baseline_vs_Stress,none,PhysioNet,WESAD,all_modalities,390,816,0.7120098039215687,0.6059293286219082,0.6115316906758287,0.7062897526501768
Baseline_vs_Stress,none,PhysioNet,WESAD,acc_only,390,816,0.5723039215686274,0.48959010600706715,0.4892820315091954,0.5291872791519434
Baseline_vs_Stress,none,PhysioNet,WESAD,all_except_acc,390,816,0.6776960784313726,0.6515406360424028,0.6409646415217445,0.6704169611307421
Baseline_vs_Stress,none,PhysioNet,WESAD,physiology_only,390,816,0.6262254901960784,0.6055053003533569,0.592421609777427,0.641731448763251
Baseline+Rest_vs_Stress,none,WESAD,PhysioNet,all_modalities,816,1643,0.8094948265368229,0.6118824300352141,0.6036823564862017,0.7265300246233684
Baseline+Rest_vs_Stress,none,WESAD,PhysioNet,acc_only,816,1643,0.8545343883140597,0.5164900447456909,0.50950016550811,0.5610421244936323
Baseline+Rest_vs_Stress,none,WESAD,PhysioNet,all_except_acc,816,1643,0.7881923311016433,0.6319898594085096,0.6061580426516779,0.7383436151341047
Baseline+Rest_vs_Stress,none,WESAD,PhysioNet,physiology_only,816,1643,0.7875836883749239,0.6275996849267919,0.6031920024857289,0.7353947681961398
Baseline+Rest_vs_Stress,none,PhysioNet,WESAD,all_modalities,1643,816,0.696078431372549,0.5062332155477032,0.42550872093023256,0.8329681978798588
Baseline+Rest_vs_Stress,none,PhysioNet,WESAD,acc_only,1643,816,0.6875,0.49781625441696115,0.4148596624925831,0.5717455830388694
Baseline+Rest_vs_Stress,none,PhysioNet,WESAD,all_except_acc,1643,816,0.7242647058823529,0.5522332155477032,0.5136256347900723,0.8563392226148411
Baseline+Rest_vs_Stress,none,PhysioNet,WESAD,physiology_only,1643,816,0.7487745098039216,0.5922332155477031,0.580296411895616,0.9043321554770318
Baseline_vs_Stress,subject_zscore,WESAD,PhysioNet,all_modalities,816,390,0.4897435897435897,0.5263178797426461,0.3910600936830625,0.6199661097725647
Baseline_vs_Stress,subject_zscore,WESAD,PhysioNet,acc_only,816,390,0.4897435897435897,0.5229288569991263,0.4130193088739137,0.5064470862347428
Baseline_vs_Stress,subject_zscore,WESAD,PhysioNet,all_except_acc,816,390,0.5051282051282051,0.540535889221319,0.41786092699866206,0.6019354497074321
Baseline_vs_Stress,subject_zscore,WESAD,PhysioNet,physiology_only,816,390,0.517948717948718,0.5528078582964866,0.43684905834280624,0.5899017712939183
Baseline_vs_Stress,subject_zscore,PhysioNet,WESAD,all_modalities,390,816,0.6740196078431373,0.7382190812720848,0.6692490080030232,0.8487067137809188
Baseline_vs_Stress,subject_zscore,PhysioNet,WESAD,acc_only,390,816,0.6274509803921569,0.5929893992932862,0.5853547645155251,0.5880565371024735
Baseline_vs_Stress,subject_zscore,PhysioNet,WESAD,all_except_acc,390,816,0.5906862745098039,0.6926643109540636,0.5906764387840923,0.8261978798586572
Baseline_vs_Stress,subject_zscore,PhysioNet,WESAD,physiology_only,390,816,0.5098039215686274,0.633243816254417,0.5071392331666305,0.783791519434629
Baseline+Rest_vs_Stress,subject_zscore,WESAD,PhysioNet,all_modalities,816,1643,0.8399269628727937,0.5161921814186238,0.5132444101999137,0.6383343482750403
Baseline+Rest_vs_Stress,subject_zscore,WESAD,PhysioNet,acc_only,816,1643,0.8216676810712112,0.5218813709656067,0.523107160440993,0.5508287219677513
Baseline+Rest_vs_Stress,subject_zscore,WESAD,PhysioNet,all_except_acc,816,1643,0.8411442483262325,0.5290135428526039,0.5311119202495646,0.6127313405173554
Baseline+Rest_vs_Stress,subject_zscore,WESAD,PhysioNet,physiology_only,816,1643,0.8484479610468655,0.5412855119277715,0.5473724040188128,0.6012321612963012
Baseline+Rest_vs_Stress,subject_zscore,PhysioNet,WESAD,all_modalities,1643,816,0.6973039215686274,0.5104664310954063,0.4367396899653747,0.7900636042402827
Baseline+Rest_vs_Stress,subject_zscore,PhysioNet,WESAD,acc_only,1643,816,0.6924019607843137,0.5013498233215548,0.41670297748729124,0.6759081272084806
Baseline+Rest_vs_Stress,subject_zscore,PhysioNet,WESAD,all_except_acc,1643,816,0.6703431372549019,0.4999646643109541,0.4492669990240035,0.6565159010600707
Baseline+Rest_vs_Stress,subject_zscore,PhysioNet,WESAD,physiology_only,1643,816,0.6642156862745098,0.5245795053003534,0.5078017681659681,0.6124593639575973
