task,normalisation,modality,n_subjects,pooled_accuracy,pooled_balanced_accuracy,pooled_macro_f1,mean_subject_accuracy
legacy_6class_session_labels,none,all_modalities,84,0.5016913869372885,0.3480322289584715,0.3571367061784256,0.42657611279066776
legacy_6class_session_labels,none,physiology_only,84,0.3655997918293,0.2370666670968533,0.23977709237687925,0.30644615630398464
harmonized_all_classes,none,all_modalities,84,0.4992103185048697,0.33401358772008316,0.34442980815663626,0.4196198793062616
harmonized_all_classes,none,physiology_only,84,0.36430639642011053,0.22972636254646395,0.23241208414955433,0.3052570319796195
affective_only_no_exercise,none,all_modalities,84,0.4891786179921773,0.3201490625291995,0.3274287285186191,0.44631411690630773
affective_only_no_exercise,none,physiology_only,84,0.35567144719687094,0.23527634499588254,0.23370181140241686,0.3236152031523896
within_WESAD,none,all_modalities,15,0.6694091249065071,0.5723308729491283,0.570002136066682,0.6715632679651051
within_WESAD,none,physiology_only,15,0.5841436050860135,0.5200911563324515,0.5149559830227082,0.5876337462138768
within_PhysioNet_stress_session,none,all_modalities,36,0.7224589166159464,0.4175974501638406,0.41961157504633456,0.7132508396250888
within_PhysioNet_stress_session,none,physiology_only,36,0.7133292757151553,0.42891814778812054,0.4381526322055154,0.6984078426756667
within_EPM_emotions,none,all_modalities,33,0.35555555555555557,0.24369500666629354,0.24572389391705626,0.35566433566433564
within_EPM_emotions,none,physiology_only,33,0.39766081871345027,0.25443992827357803,0.24747693217442066,0.39780885780885783
shared_Baseline_vs_Stress_pooled,none,all_modalities,51,0.8590381426202321,0.8491082997277584,0.8502598650863442,0.7561043741332426
shared_Baseline_vs_Stress_pooled,none,physiology_only,51,0.8200663349917081,0.8105358936656524,0.8098917982413127,0.7180763273155417
legacy_6class_session_labels,subject_zscore,all_modalities,84,0.5113192818110851,0.35519992142244877,0.3789057576283536,0.4218035134193777
legacy_6class_session_labels,subject_zscore,physiology_only,84,0.42323705438459536,0.2890142434041951,0.30637222219697996,0.3478159385156373
harmonized_all_classes,subject_zscore,all_modalities,84,0.5131613582521716,0.35245598065997674,0.3766977192413693,0.4246544448299262
harmonized_all_classes,subject_zscore,physiology_only,84,0.4181363516714925,0.27903967694307213,0.29353763788159176,0.3414146843816581
affective_only_no_exercise,subject_zscore,all_modalities,84,0.5788787483702738,0.4045042292556091,0.41674898318288983,0.53579906319076
affective_only_no_exercise,subject_zscore,physiology_only,84,0.5019556714471969,0.3449260272809747,0.3523621261331463,0.4621871199263776
within_WESAD,subject_zscore,all_modalities,15,0.7591623036649214,0.6778652274922969,0.6817372291891108,0.7621020303322835
within_WESAD,subject_zscore,physiology_only,15,0.7240089753178759,0.6506170336789903,0.6566530966990916,0.7263920122103495
within_PhysioNet_stress_session,subject_zscore,all_modalities,36,0.736457699330493,0.3720990633537961,0.362783550497013,0.7127026929253178
within_PhysioNet_stress_session,subject_zscore,physiology_only,36,0.736457699330493,0.39097067511905076,0.39669788192685546,0.7080426129219443
within_EPM_emotions,subject_zscore,all_modalities,33,0.49707602339181284,0.34700975409407225,0.349383240636436,0.49627039627039615
within_EPM_emotions,subject_zscore,physiology_only,33,0.4666666666666667,0.32490589299303996,0.32231591603830306,0.4661072261072261
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,51,0.835820895522388,0.812537669787011,0.8207211157292843,0.705401333927565
shared_Baseline_vs_Stress_pooled,subject_zscore,physiology_only,51,0.8043117744610282,0.7779382433868596,0.7856322964525119,0.6587126278670816
