task,normalisation,modality,n_classes,n_windows,n,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_sd,macro_f1_ci95_low,macro_f1_ci95_high
legacy_6class_session_labels,none,all_modalities,11,7686,20.0,0.4925683176524439,0.04326732311067103,0.4723185871094243,0.5128180481954635,0.33776482017768333,0.031007151814708082,0.3232530264263504,0.35227661392901627,0.3383176042107331,0.03416977790788377,0.3223256558856744,0.35430955253579177
legacy_6class_session_labels,none,acc_only,11,7686,20.0,0.5213845473695236,0.04561828514975575,0.500034532723266,0.5427345620157811,0.35357354694371557,0.0409646306479631,0.3344015096467979,0.37274558424063325,0.35241076135852495,0.04303337373568214,0.33227052249337313,0.37255100022367676
legacy_6class_session_labels,none,all_except_acc,11,7686,20.0,0.36571951451283796,0.042294965769475924,0.3459248612136859,0.38551416781199005,0.24067861645386937,0.0340154451822733,0.2247588980677784,0.2565983348399603,0.2367287481584043,0.0363897317043077,0.2196978294750326,0.253759666841776
legacy_6class_session_labels,none,physiology_only,11,7686,20.0,0.3599211766929173,0.04294815877036067,0.3398208196591785,0.3800215337266561,0.2318587381909544,0.029395571481480268,0.2181011872526751,0.2456162891292337,0.2303616697478803,0.02971268870704353,0.21645570337951348,0.24426763611624713
harmonized_all_classes,none,all_modalities,11,7598,20.0,0.48935565114583895,0.04614209486611289,0.46776048600610354,0.5109508162855744,0.3268953400085412,0.03329081173921525,0.3113147605131751,0.3424759195039073,0.32670171899150746,0.03643791566510968,0.30964824952032205,0.3437551884626929
harmonized_all_classes,none,acc_only,11,7598,20.0,0.518510560058778,0.05077174416838567,0.494748652348907,0.5422724677686491,0.34340278417415354,0.038142343475782284,0.3255516179328706,0.3612539504154365,0.34101857919146383,0.0408944563331564,0.32187938448483633,0.36015777389809134
harmonized_all_classes,none,all_except_acc,11,7598,20.0,0.3649362034735141,0.04266760103994959,0.34496715149944013,0.384905255447588,0.2346874625721095,0.03137155544902256,0.22000512267016561,0.2493698024740534,0.23149182297715148,0.03409076176279267,0.21553685534633518,0.2474467906079678
harmonized_all_classes,none,physiology_only,11,7598,20.0,0.3558532503471498,0.04146875014657455,0.33644527786232475,0.3752612228319749,0.2230178354657383,0.02778488757404178,0.21001410780032895,0.23602156313114767,0.22113222899658927,0.02968006286023829,0.20724153199454895,0.2350229259986296
affective_only_no_exercise,none,all_modalities,9,3835,20.0,0.47540999315314003,0.03702352724258246,0.4580824490271311,0.492737537279149,0.3075359131611005,0.028732110247114005,0.29408887163860575,0.3209829546835953,0.3044639226804439,0.031493205407427914,0.2897246488454259,0.3192031965154619
affective_only_no_exercise,none,acc_only,9,3835,20.0,0.4874592705792925,0.035652302120000263,0.47077347956509696,0.504145061593488,0.31682572120446295,0.038555073883337856,0.29878139118647645,0.33487005122244945,0.3138660613454416,0.040469563532283405,0.29492572259080674,0.33280640010007645
affective_only_no_exercise,none,all_except_acc,9,3835,20.0,0.36361024976448325,0.04542991646707561,0.34234839437543835,0.38487210515352815,0.23885412406565557,0.031554173217524656,0.22408631641718443,0.25362193171412667,0.2327167753569182,0.03345553293352875,0.21705910396957068,0.24837444674426573
affective_only_no_exercise,none,physiology_only,9,3835,20.0,0.35329298710616763,0.05280942875632483,0.3285774136534012,0.37800856055893406,0.2258176016249585,0.03316634841558133,0.21029527275812396,0.24133993049179306,0.22177034088518063,0.03528588646549196,0.20525603767603273,0.23828464409432853
