subject_id,dataset,protocol,ACC,BVP,EDA,HR,IBI,TEMP,tags
S01,PhysioNet,STRESS,True,True,True,True,True,True,True
S02,PhysioNet,STRESS,True,True,True,True,True,True,True
S03,PhysioNet,STRESS,True,True,True,True,True,True,True
S04,PhysioNet,STRESS,True,True,True,True,True,True,True
S05,PhysioNet,STRESS,True,True,True,True,True,True,True
S06,PhysioNet,STRESS,True,True,True,True,True,True,True
S07,PhysioNet,STRESS,True,True,True,True,True,True,True
S08,PhysioNet,STRESS,True,True,True,True,True,True,True
S09,PhysioNet,STRESS,True,True,True,True,True,True,True
S10,PhysioNet,STRESS,True,True,True,True,True,True,True
S11,PhysioNet,STRESS,True,True,True,True,True,True,True
S12,PhysioNet,STRESS,True,True,True,True,True,True,True
S13,PhysioNet,STRESS,True,True,True,True,True,True,True
S14,PhysioNet,STRESS,True,True,True,True,True,True,True
S15,PhysioNet,STRESS,True,True,True,True,True,True,True
S16,PhysioNet,STRESS,True,True,True,True,True,True,True
S17,PhysioNet,STRESS,True,True,True,True,True,True,True
S18,PhysioNet,STRESS,True,True,True,True,True,True,True
f01,PhysioNet,STRESS,True,True,True,True,True,True,True
f02,PhysioNet,STRESS,True,True,True,True,True,True,True
f03,PhysioNet,STRESS,True,True,True,True,True,True,True
f04,PhysioNet,STRESS,True,True,True,True,True,True,True
f05,PhysioNet,STRESS,True,True,True,True,True,True,True
f06,PhysioNet,STRESS,True,True,True,True,True,True,True
f07,PhysioNet,STRESS,True,True,True,True,True,True,True
f08,PhysioNet,STRESS,True,True,True,True,True,True,True
f09,PhysioNet,STRESS,True,True,True,True,True,True,True
f10,PhysioNet,STRESS,True,True,True,True,True,True,True
f11,PhysioNet,STRESS,True,True,True,True,True,True,True
f12,PhysioNet,STRESS,True,True,True,True,True,True,True
f13,PhysioNet,STRESS,True,True,True,True,True,True,True
f14_a,PhysioNet,STRESS,True,True,True,True,True,True,True
f14_b,PhysioNet,STRESS,True,True,True,True,True,True,True
f15,PhysioNet,STRESS,True,True,True,True,True,True,True
f16,PhysioNet,STRESS,True,True,True,True,True,True,True
f17,PhysioNet,STRESS,True,True,True,True,True,True,True
f18,PhysioNet,STRESS,True,True,True,True,True,True,True
S01,PhysioNet,AEROBIC,True,True,True,True,True,True,True
S02,PhysioNet,AEROBIC,True,True,True,True,True,True,True
S03,PhysioNet,AEROBIC,True,True,True,True,True,True,True
S04,PhysioNet,AEROBIC,True,True,True,True,True,True,True
S05,PhysioNet,AEROBIC,True,True,True,True,True,True,True
S06,PhysioNet,AEROBIC,True,True,True,True,True,True,True
S07,PhysioNet,AEROBIC,True,True,True,True,True,True,True
S08,PhysioNet,AEROBIC,True,True,True,True,True,True,True
S09,PhysioNet,AEROBIC,True,True,True,True,True,True,True
S10,PhysioNet,AEROBIC,True,True,True,True,True,True,True
S11_a,PhysioNet,AEROBIC,True,True,True,True,True,True,True
S11_b,PhysioNet,AEROBIC,True,True,True,True,True,True,True
S13,PhysioNet,AEROBIC,True,True,True,True,True,True,True
S14,PhysioNet,AEROBIC,True,True,True,True,True,True,True
S15,PhysioNet,AEROBIC,True,True,True,True,True,True,True
S16,PhysioNet,AEROBIC,True,True,True,True,True,True,True
S17,PhysioNet,AEROBIC,True,True,True,True,True,True,True
S18,PhysioNet,AEROBIC,True,True,True,True,True,True,True
f01,PhysioNet,AEROBIC,True,True,True,True,True,True,True
f02,PhysioNet,AEROBIC,True,True,True,True,True,True,True
f03,PhysioNet,AEROBIC,True,True,True,True,True,True,True
f04,PhysioNet,AEROBIC,True,True,True,True,True,True,True
f05,PhysioNet,AEROBIC,True,True,True,True,True,True,True
f06,PhysioNet,AEROBIC,True,True,True,True,True,True,True
f07,PhysioNet,AEROBIC,True,True,True,True,True,True,True
f08,PhysioNet,AEROBIC,True,True,True,True,True,True,True
