model,subject_id,dataset,n_samples,accuracy,precision,recall,f1
XGBoost,S2,WESAD,89,0.3258426966292135,0.4279026217228465,0.3258426966292135,0.20494101624306513
XGBoost,S3,WESAD,81,0.38271604938271603,0.6831275720164608,0.38271604938271603,0.4301404853128991
XGBoost,S4,WESAD,86,0.13953488372093023,0.37984496124031003,0.13953488372093023,0.1385856668248695
XGBoost,S8,WESAD,86,0.3488372093023256,0.4604591070248183,0.3488372093023256,0.3503644253454668
XGBoost,S17,WESAD,245,0.363265306122449,0.6061057747740557,0.363265306122449,0.43181948168927087
XGBoost,1,EPM-E4,49,0.0,0.0,0.0,0.0
XGBoost,40,EPM-E4,49,0.2653061224489796,1.0,0.2653061224489796,0.4193548387096775
XGBoost,66,EPM-E4,49,0.46938775510204084,1.0,0.46938775510204084,0.6388888888888888
XGBoost,f11,PhysioNet,255,0.23137254901960785,0.3079253563773688,0.23137254901960785,0.20950989302577644
XGBoost,f14_a,PhysioNet,22,0.3181818181818182,1.0,0.3181818181818182,0.4827586206896552
Random Forest,S2,WESAD,89,0.4044943820224719,0.5490196078431373,0.4044943820224719,0.377048536899533
Random Forest,S3,WESAD,81,0.20987654320987653,0.14814814814814814,0.20987654320987653,0.17369093231162194
Random Forest,S4,WESAD,86,0.36046511627906974,0.6657722122838402,0.36046511627906974,0.4097899474868717
Random Forest,S8,WESAD,86,0.32558139534883723,0.43899224806201553,0.32558139534883723,0.2961845270755076
Random Forest,S17,WESAD,245,0.3142857142857143,0.4564102564102564,0.3142857142857143,0.3443562657065743
Random Forest,1,EPM-E4,49,0.0,0.0,0.0,0.0
Random Forest,40,EPM-E4,49,0.2653061224489796,1.0,0.2653061224489796,0.4193548387096775
Random Forest,66,EPM-E4,49,0.16326530612244897,1.0,0.16326530612244897,0.2807017543859649
Random Forest,f11,PhysioNet,255,0.17254901960784313,0.20571266968325794,0.17254901960784313,0.15943862596354916
Random Forest,f14_a,PhysioNet,22,0.3181818181818182,1.0,0.3181818181818182,0.4827586206896552
MLP,S2,WESAD,89,0.3595505617977528,0.542975941090586,0.3595505617977528,0.36337414053328865
MLP,S3,WESAD,81,0.30864197530864196,0.6724279835390947,0.30864197530864196,0.40114927627209623
MLP,S4,WESAD,86,0.5930232558139535,0.7495322106388667,0.5930232558139535,0.6498054169412799
MLP,S8,WESAD,86,0.3488372093023256,0.4955426356589147,0.3488372093023256,0.3817040840296654
MLP,S17,WESAD,245,0.47346938775510206,0.6294367575922375,0.47346938775510206,0.5075152524132116
MLP,1,EPM-E4,49,0.0,0.0,0.0,0.0
MLP,40,EPM-E4,49,0.40816326530612246,1.0,0.40816326530612246,0.5797101449275363
MLP,66,EPM-E4,49,0.32653061224489793,1.0,0.32653061224489793,0.4923076923076923
MLP,f11,PhysioNet,255,0.13333333333333333,0.24830409356725144,0.13333333333333333,0.15892698498742677
MLP,f14_a,PhysioNet,22,0.3181818181818182,1.0,0.3181818181818182,0.4827586206896552
